date,SPY,QQQ,ICLN,BTC-USD
2024-10-13,167.25,234.97,161.94,161.79
2024-10-14,170.63,228.49,161.15,158.6
2024-10-15,170.16,224.58,164.7,157.5
2024-10-16,172.64,225.89,160.26,154.08
2024-10-17,176.96,223.06,155.37,154.04
2024-10-18,180.53,226.73,155.66,150.46
2024-10-19,177.66,223.6,154.7,151.42
2024-10-20,177.07,225.23,154.8,153.04
2024-10-21,176.24,222.77,157.07,151.22
2024-10-22,177.63,224.17,155.85,151.66
2024-10-23,179.54,219.12,151.54,149.73
2024-10-24,177.37,217.74,156.27,150.96
2024-10-25,177.64,215.08,154.01,149.47
2024-10-26,172.35,218.04,151.64,151.32
2024-10-27,176.16,219.66,154.23,147.28
2024-10-28,174.9,215.71,153.41,145.13
2024-10-29,175.13,215.16,153.34,142.79
2024-10-30,174.41,212.77,154.53,143.3
2024-10-31,177.49,215.91,157.12,144.56
2024-11-01,170.02,220.14,156.41,145.25
2024-11-02,170.07,215.49,160.06,144.21
2024-11-03,169.88,218.27,155.01,138.24
2024-11-04,168.81,215.68,156.85,138.38
2024-11-05,173.27,214.97,154.96,140.09
2024-11-06,171.05,215.18,158.22,145.79
2024-11-07,173.11,221.15,158.64,144.94
2024-11-08,174.12,217.94,157.12,143.56
2024-11-09,177.51,220.77,158.76,144.32
2024-11-10,175.82,217.0,160.97,143.84
2024-11-11,173.97,213.07,162.6,146.67
2024-11-12,176.92,213.27,160.17,144.96
2024-11-13,178.14,213.45,159.08,144.49
2024-11-14,174.1,204.49,159.15,146.46
2024-11-15,172.78,208.15,159.13,147.21
2024-11-16,173.87,201.57,161.0,149.85
2024-11-17,176.14,201.23,156.22,148.95
2024-11-18,174.43,205.34,157.08,151.84
2024-11-19,166.89,212.25,156.47,148.13
2024-11-20,168.29,211.2,154.58,144.6
2024-11-21,165.29,206.76,152.94,147.44
2024-11-22,160.37,210.87,152.52,147.53
2024-11-23,153.64,213.71,144.36,149.64
2024-11-24,155.59,212.25,142.92,149.94
2024-11-25,155.97,210.39,141.11,150.0
2024-11-26,155.52,208.24,142.31,147.09
2024-11-27,158.84,207.26,140.66,147.1
2024-11-28,160.43,208.35,140.28,150.18
2024-11-29,164.4,206.69,143.59,150.38
2024-11-30,161.05,205.43,145.8,152.0
2024-12-01,161.05,207.5,147.85,153.56
2024-12-02,157.22,202.99,146.82,151.31
2024-12-03,156.76,201.95,148.09,153.33
2024-12-04,156.26,196.98,147.64,152.68
2024-12-05,157.8,197.39,147.28,152.17
2024-12-06,157.99,191.75,148.26,157.03
2024-12-07,159.55,194.41,147.0,158.52
2024-12-08,161.31,190.67,150.37,157.08
2024-12-09,166.6,185.7,150.08,157.31
2024-12-10,165.9,184.78,151.55,157.47
2024-12-11,163.64,189.61,154.94,161.53
2024-12-12,164.33,191.73,157.41,161.71
2024-12-13,162.43,186.3,154.16,167.15
2024-12-14,166.12,182.64,155.27,163.98
2024-12-15,165.5,181.64,157.33,163.98
2024-12-16,164.18,187.83,159.51,162.19
2024-12-17,163.1,185.28,156.93,161.06
2024-12-18,164.94,182.79,155.46,160.0
2024-12-19,164.63,187.07,157.86,158.38
2024-12-20,163.13,187.71,156.13,162.56
2024-12-21,167.29,190.76,155.51,166.11
2024-12-22,165.22,188.78,159.26,167.2
2024-12-23,165.39,188.59,159.23,166.09
2024-12-24,167.09,192.4,157.57,164.48
2024-12-25,163.09,192.08,155.57,166.39
2024-12-26,164.34,195.41,156.43,167.22
2024-12-27,161.82,196.64,153.38,166.94
2024-12-28,163.9,193.68,152.89,168.38
2024-12-29,161.62,193.73,153.73,170.71
2024-12-30,163.38,196.67,156.8,170.41
2024-12-31,166.17,198.75,158.45,168.48
2025-01-01,168.4,198.73,156.83,165.22
2025-01-02,169.12,193.19,159.68,165.93
2025-01-03,168.62,188.08,159.04,171.4
2025-01-04,167.24,183.71,156.18,168.63
2025-01-05,171.02,182.39,155.85,171.5
2025-01-06,169.31,181.45,159.29,169.85
2025-01-07,166.76,177.53,159.76,168.72
2025-01-08,168.51,180.34,159.87,171.12
2025-01-09,166.58,177.01,163.88,170.56
2025-01-10,164.29,173.46,160.44,171.28
2025-01-11,160.81,173.78,157.43,171.95
2025-01-12,159.73,176.4,153.69,170.3
2025-01-13,159.61,181.93,154.63,172.67
2025-01-14,160.27,183.61,155.09,172.6
2025-01-15,162.64,188.05,158.76,169.09
2025-01-16,164.01,184.73,159.42,166.91
2025-01-17,163.62,190.8,158.53,159.19
2025-01-18,163.21,185.57,158.62,159.39
2025-01-19,164.54,184.26,158.97,162.59
2025-01-20,167.77,185.9,155.07,160.12
2025-01-21,168.17,181.52,161.45,161.6
2025-01-22,167.07,179.08,162.79,162.73
2025-01-23,164.67,176.26,163.38,160.97
2025-01-24,161.18,175.53,164.97,164.77
2025-01-25,162.87,179.36,166.81,164.17
2025-01-26,164.36,179.49,166.54,169.21
2025-01-27,165.87,178.33,165.05,165.14
2025-01-28,165.63,170.71,166.62,164.56
2025-01-29,169.21,171.99,167.66,164.27
2025-01-30,168.07,174.11,165.71,164.25
2025-01-31,170.56,169.76,169.32,166.1
2025-02-01,170.54,169.67,170.15,174.65
2025-02-02,169.07,170.25,172.1,175.92
2025-02-03,170.66,172.8,175.78,176.08
2025-02-04,171.79,171.01,175.92,173.27
2025-02-05,172.8,168.85,176.85,168.44
2025-02-06,173.1,167.77,179.08,171.48
2025-02-07,173.09,171.09,177.23,170.16
2025-02-08,179.37,173.86,177.46,176.9
2025-02-09,182.65,173.89,177.88,179.29
2025-02-10,184.72,176.63,175.42,180.3
2025-02-11,185.12,170.45,181.61,181.45
2025-02-12,188.01,172.55,177.86,182.64
2025-02-13,189.57,169.75,174.49,180.83
2025-02-14,189.74,174.33,178.02,176.17
2025-02-15,188.97,171.63,180.01,174.8
2025-02-16,188.83,169.52,177.33,174.84
2025-02-17,179.95,171.04,179.03,173.23
2025-02-18,180.6,172.82,183.06,169.98
2025-02-19,179.37,171.74,183.07,168.15
2025-02-20,183.75,172.79,190.3,170.85
2025-02-21,183.89,174.16,185.47,172.85
2025-02-22,180.7,175.27,187.5,173.38
2025-02-23,180.66,174.3,190.87,175.0
2025-02-24,177.91,175.7,193.52,172.11
2025-02-25,179.27,179.5,193.02,170.15
2025-02-26,180.14,176.29,192.28,171.02
2025-02-27,182.82,174.15,193.66,168.53
2025-02-28,180.74,174.31,196.12,168.89
2025-03-01,180.92,171.64,197.99,165.78
2025-03-02,177.31,167.08,201.18,161.76
2025-03-03,179.26,169.9,198.21,163.63
2025-03-04,180.75,164.31,197.63,166.23
2025-03-05,182.18,163.4,194.94,164.74
2025-03-06,182.28,165.34,193.91,161.06
2025-03-07,183.5,166.09,196.96,155.81
2025-03-08,188.01,165.2,197.38,160.19
2025-03-09,187.3,162.57,205.19,160.54
2025-03-10,187.78,163.49,205.89,159.16
2025-03-11,184.82,161.14,206.18,158.37
2025-03-12,182.5,161.87,206.61,153.9
2025-03-13,182.86,162.29,204.74,155.41
2025-03-14,185.98,162.74,204.66,160.15
2025-03-15,185.36,161.26,208.23,158.35
2025-03-16,184.8,166.26,208.69,164.09
2025-03-17,183.76,167.24,206.31,163.88
2025-03-18,182.38,166.62,203.55,168.06
2025-03-19,183.28,167.37,202.27,168.92
2025-03-20,179.25,165.51,202.6,169.78
2025-03-21,182.79,164.63,206.33,174.56
2025-03-22,181.05,170.62,202.28,176.7
2025-03-23,183.11,168.74,201.41,177.78
2025-03-24,179.71,168.63,201.95,172.69
2025-03-25,181.6,167.56,196.5,168.88
2025-03-26,183.52,165.03,194.14,170.12
2025-03-27,184.67,166.15,192.25,173.95
2025-03-28,182.01,166.33,190.05,174.37
2025-03-29,182.78,168.68,190.7,172.91
2025-03-30,179.63,170.82,190.33,168.23
2025-03-31,179.04,173.21,188.84,166.34
2025-04-01,181.89,170.91,190.15,166.75
2025-04-02,184.16,172.64,195.16,164.69
2025-04-03,184.29,174.45,200.06,162.39
2025-04-04,181.69,171.87,194.39,162.35
2025-04-05,183.54,171.13,196.17,165.95
2025-04-06,183.68,167.48,195.74,167.74
2025-04-07,177.38,169.24,196.29,168.54
2025-04-08,179.55,171.02,195.22,169.1
2025-04-09,179.58,174.77,195.66,170.59
2025-04-10,182.91,174.26,196.2,170.39
2025-04-11,179.99,175.53,194.6,169.43
2025-04-12,171.51,178.22,192.08,171.39
2025-04-13,172.31,176.29,190.88,170.89
2025-04-14,173.15,173.98,191.65,167.93
2025-04-15,168.85,172.18,193.47,171.65
2025-04-16,166.45,171.37,196.04,166.92
2025-04-17,173.41,169.21,194.68,170.81
2025-04-18,172.71,167.57,195.61,172.19
2025-04-19,174.69,169.87,198.53,169.77
2025-04-20,173.07,169.71,202.1,169.92
2025-04-21,167.73,170.58,202.02,168.91
2025-04-22,167.38,169.25,201.46,171.04
2025-04-23,166.8,167.77,202.13,173.15
2025-04-24,165.88,168.57,198.75,174.43
2025-04-25,165.68,168.98,198.27,176.47
2025-04-26,166.42,171.03,200.58,176.26
2025-04-27,166.13,174.46,202.62,181.0
2025-04-28,163.06,172.74,201.9,184.42
2025-04-29,164.33,175.05,202.66,183.19
2025-04-30,159.61,172.31,200.25,185.51
2025-05-01,154.78,177.75,202.46,187.62
2025-05-02,156.57,175.75,202.33,186.98
2025-05-03,157.84,177.65,201.59,186.12
2025-05-04,157.79,174.85,200.6,189.61
2025-05-05,154.56,174.53,200.51,189.66
2025-05-06,153.0,178.67,199.26,190.5
2025-05-07,152.47,176.57,201.33,194.59
2025-05-08,148.9,182.49,200.24,202.09
2025-05-09,147.32,182.57,205.12,200.59
2025-05-10,148.84,185.33,209.73,200.03
2025-05-11,152.1,186.54,207.03,200.35
2025-05-12,151.22,187.92,207.35,200.74
2025-05-13,153.01,183.99,205.43,201.97
2025-05-14,148.69,182.78,204.53,200.59
2025-05-15,150.24,186.15,210.78,196.88
2025-05-16,148.5,185.28,209.91,202.16
2025-05-17,149.26,185.76,211.15,204.11
2025-05-18,148.78,181.54,212.97,202.93
2025-05-19,151.8,180.17,209.88,204.37
2025-05-20,149.89,183.29,207.29,210.09
2025-05-21,151.37,179.86,203.64,207.71
2025-05-22,150.81,181.88,201.04,208.47
2025-05-23,150.53,182.46,192.55,204.23
2025-05-24,150.19,181.9,194.21,203.97
2025-05-25,148.36,181.23,200.3,205.96
2025-05-26,148.4,179.99,200.84,202.62
2025-05-27,148.34,178.99,196.67,202.15
2025-05-28,148.95,181.58,194.88,204.68
2025-05-29,149.21,180.49,193.63,206.59
2025-05-30,151.07,185.47,190.77,203.1
2025-05-31,153.24,186.4,193.33,204.34
2025-06-01,150.9,184.88,195.78,206.16
2025-06-02,152.95,187.67,192.48,206.6
2025-06-03,150.3,189.52,194.67,210.07
2025-06-04,151.7,184.92,199.23,208.32
2025-06-05,153.19,182.14,205.01,209.71
2025-06-06,148.87,181.92,213.93,206.15
2025-06-07,149.15,177.68,211.14,201.31
2025-06-08,148.18,183.35,220.19,203.77
2025-06-09,146.57,185.7,219.13,203.93
2025-06-10,149.61,185.75,217.29,202.62
2025-06-11,148.22,184.89,218.47,199.48
2025-06-12,146.5,183.32,216.67,202.05
2025-06-13,146.74,178.01,218.07,197.59
2025-06-14,148.32,173.47,213.86,200.63
2025-06-15,148.08,178.51,213.2,202.08
2025-06-16,150.75,182.81,217.42,197.77
2025-06-17,152.02,181.32,217.35,198.24
2025-06-18,147.13,183.88,217.92,206.23
2025-06-19,146.04,185.37,219.58,210.01
2025-06-20,144.88,187.2,223.54,207.51
2025-06-21,145.99,183.29,218.11,209.84
2025-06-22,140.32,178.41,220.13,205.49
2025-06-23,145.75,181.67,219.35,201.37
2025-06-24,146.99,176.36,220.01,201.26
2025-06-25,147.39,176.06,223.62,203.03
2025-06-26,150.07,175.18,219.72,205.6
2025-06-27,155.42,174.06,216.5,208.25
2025-06-28,157.53,174.96,210.32,209.9
2025-06-29,159.85,173.27,208.69,204.92
2025-06-30,160.25,174.39,212.96,204.84
2025-07-01,159.99,174.84,212.68,207.92
2025-07-02,158.92,180.44,208.51,209.4
2025-07-03,157.03,176.78,207.1,210.08
2025-07-04,155.49,176.94,202.58,211.22
2025-07-05,152.42,178.18,199.26,212.32
2025-07-06,152.33,177.58,200.52,206.17
2025-07-07,148.55,174.11,197.09,209.84
2025-07-08,149.05,177.48,200.48,209.6
2025-07-09,149.05,178.46,200.37,211.93
2025-07-10,149.45,175.16,200.72,204.7
2025-07-11,148.35,176.4,199.99,209.91
2025-07-12,155.27,180.99,202.41,206.37
2025-07-13,158.52,180.98,204.88,214.34
2025-07-14,155.64,181.07,206.02,221.26
2025-07-15,156.26,185.42,207.86,216.98
2025-07-16,154.91,182.81,207.31,219.74
2025-07-17,152.63,187.64,209.1,216.5
2025-07-18,149.64,190.47,208.14,214.53
2025-07-19,150.69,187.93,208.25,212.65
2025-07-20,149.22,186.14,207.5,214.19
2025-07-21,151.46,184.76,206.18,215.34
2025-07-22,153.8,179.78,204.15,211.57
2025-07-23,157.04,180.57,205.69,213.07
2025-07-24,155.11,178.28,209.83,212.52
2025-07-25,156.3,179.16,213.62,206.82
2025-07-26,157.86,175.78,209.7,205.58
2025-07-27,156.81,178.3,213.86,210.8
2025-07-28,155.08,180.36,212.95,209.64
2025-07-29,158.9,178.54,214.98,203.98
2025-07-30,159.52,179.6,212.16,206.57
2025-07-31,161.12,179.91,212.72,203.8
2025-08-01,159.22,184.0,213.83,204.56
2025-08-02,156.38,181.24,209.17,204.13
2025-08-03,155.13,180.92,211.18,209.63
2025-08-04,154.91,179.27,215.55,209.19
2025-08-05,152.52,179.48,215.1,205.71
2025-08-06,152.57,181.01,219.59,204.36
2025-08-07,148.78,179.33,219.08,200.7
2025-08-08,146.36,178.44,221.98,200.17
2025-08-09,147.91,181.11,214.7,205.58
2025-08-10,149.32,184.89,222.6,209.54
2025-08-11,148.52,186.35,227.7,216.06
2025-08-12,146.32,186.06,226.85,217.72
2025-08-13,144.14,185.5,220.25,218.29
2025-08-14,143.41,187.12,221.31,215.13
2025-08-15,144.86,187.85,216.63,216.11
2025-08-16,146.95,183.3,218.18,215.8
2025-08-17,145.93,184.96,219.64,218.43
2025-08-18,143.48,182.67,216.65,214.86
2025-08-19,144.13,178.88,220.4,215.14
2025-08-20,142.42,174.49,223.17,210.16
2025-08-21,141.38,174.01,226.55,211.33
2025-08-22,144.27,171.45,226.69,213.58
2025-08-23,146.13,165.55,221.99,208.49
2025-08-24,146.55,164.74,225.36,204.41
2025-08-25,143.82,163.61,224.56,200.54
2025-08-26,144.35,163.33,219.99,200.1
2025-08-27,146.73,161.87,224.56,196.01
2025-08-28,145.97,166.39,231.74,200.16
2025-08-29,149.0,167.76,231.72,201.57
2025-08-30,151.97,166.59,239.34,203.48
2025-08-31,155.84,166.51,239.79,198.73
2025-09-01,156.63,170.13,238.54,202.69
2025-09-02,158.09,172.66,236.4,204.76
2025-09-03,161.52,169.13,242.32,202.77
2025-09-04,162.68,166.74,239.61,198.18
2025-09-05,161.54,164.87,242.37,198.05
2025-09-06,160.54,163.86,240.46,196.77
2025-09-07,161.19,162.48,238.92,195.61
2025-09-08,158.15,162.65,242.73,193.64
2025-09-09,157.89,164.52,241.47,195.83
2025-09-10,160.57,166.83,240.12,188.29
2025-09-11,155.37,166.1,244.32,192.42
2025-09-12,159.02,162.11,250.3,195.4
2025-09-13,161.78,159.66,252.85,196.12
2025-09-14,160.74,158.49,250.49,195.79
2025-09-15,162.13,155.61,248.7,199.07
2025-09-16,162.22,158.35,249.12,199.04
2025-09-17,165.3,155.63,250.44,198.31
2025-09-18,167.82,157.15,246.86,201.8
2025-09-19,164.38,153.26,249.66,208.23
2025-09-20,165.91,154.85,250.1,205.31
2025-09-21,165.48,154.61,243.79,206.72
2025-09-22,165.77,158.19,240.52,203.45
2025-09-23,164.04,155.58,238.82,205.08
2025-09-24,168.42,154.35,238.68,202.79
2025-09-25,171.13,153.57,245.56,206.58
2025-09-26,169.32,153.29,246.56,206.37
2025-09-27,166.01,152.57,243.57,206.62
2025-09-28,165.14,151.9,244.5,211.78
2025-09-29,166.3,151.2,243.33,209.56
2025-09-30,166.98,146.57,244.64,211.81
2025-10-01,170.2,148.83,246.89,209.91
2025-10-02,172.3,155.29,251.49,213.78
2025-10-03,174.89,156.07,251.53,219.61
2025-10-04,175.84,153.48,257.84,218.86
2025-10-05,172.26,151.18,261.48,211.76
2025-10-06,171.84,152.65,258.83,209.68
2025-10-07,174.66,153.6,267.54,217.44
2025-10-08,174.61,153.03,268.99,215.62
2025-10-09,176.02,154.83,265.75,221.45
2025-10-10,175.27,150.12,272.47,219.55
2025-10-11,172.65,151.89,281.1,217.58
2025-10-12,172.41,152.51,281.1,220.23
2025-10-13,173.3,150.3,279.12,222.52
2025-10-14,171.68,147.15,278.54,225.48
2025-10-15,171.16,147.49,281.66,225.61
2025-10-16,168.83,150.68,287.2,229.22
2025-10-17,171.75,150.24,289.81,232.64
2025-10-18,171.08,148.39,290.39,236.77
2025-10-19,174.89,148.89,297.06,234.67
2025-10-20,178.99,153.03,295.82,238.43
2025-10-21,178.86,154.1,300.54,236.68
2025-10-22,176.25,155.42,299.39,236.24
2025-10-23,170.82,158.35,301.48,235.73
2025-10-24,167.13,159.55,301.11,232.32
2025-10-25,163.77,157.76,301.01,226.39
2025-10-26,167.24,153.71,299.46,230.66
2025-10-27,167.62,151.66,305.65,228.34
2025-10-28,168.68,149.23,302.44,227.53
2025-10-29,163.14,150.78,299.24,225.15
2025-10-30,160.29,152.66,308.91,224.4
2025-10-31,162.51,153.14,313.59,222.81
2025-11-01,163.29,150.3,302.53,227.19
2025-11-02,163.01,154.4,300.11,225.29
2025-11-03,164.47,153.52,292.11,231.2
2025-11-04,168.59,154.98,288.09,235.27
2025-11-05,168.12,155.17,274.67,233.71
2025-11-06,168.37,155.74,274.24,234.95
2025-11-07,168.94,157.14,269.68,236.9
2025-11-08,175.09,155.58,270.06,240.01
2025-11-09,169.67,158.7,263.61,243.51
2025-11-10,171.49,155.02,264.07,244.32
2025-11-11,171.28,152.69,262.56,240.94
2025-11-12,172.82,155.72,268.61,243.38
2025-11-13,171.2,157.18,274.43,242.64
2025-11-14,171.16,163.25,277.8,232.61
2025-11-15,173.08,163.5,276.57,234.08
2025-11-16,181.24,167.75,284.95,231.62
2025-11-17,183.53,163.16,278.45,230.15
2025-11-18,181.29,159.78,272.73,230.28
2025-11-19,180.23,162.01,272.52,225.03
2025-11-20,179.09,157.86,281.87,225.61
2025-11-21,174.36,157.47,281.16,224.65
2025-11-22,173.58,160.31,280.53,221.81
2025-11-23,175.57,161.59,274.6,222.07
2025-11-24,172.31,161.7,278.63,216.55
2025-11-25,175.1,160.69,282.76,216.91
2025-11-26,176.47,161.26,286.25,218.55
2025-11-27,174.62,162.73,283.69,219.66
2025-11-28,174.33,161.2,280.82,222.37
2025-11-29,178.6,162.18,275.51,226.37
2025-11-30,180.65,164.89,276.0,226.2
2025-12-01,180.77,164.42,271.66,230.03
2025-12-02,180.21,164.67,267.0,229.85
2025-12-03,180.51,165.95,265.44,227.56
2025-12-04,179.22,167.4,263.62,226.33
2025-12-05,173.65,169.69,261.63,227.35
2025-12-06,179.05,167.19,263.59,231.16
2025-12-07,179.56,165.95,264.03,231.29
2025-12-08,180.72,164.81,263.02,229.06
2025-12-09,180.66,162.66,263.88,234.14
2025-12-10,178.75,158.35,260.09,229.22
2025-12-11,178.35,150.7,260.63,227.04
2025-12-12,174.16,153.48,261.35,230.19
2025-12-13,180.19,149.98,255.58,236.41
2025-12-14,176.94,153.58,259.53,238.23
2025-12-15,174.29,155.36,256.23,239.24
2025-12-16,173.23,154.49,256.7,238.32
2025-12-17,176.66,155.99,261.31,240.4
2025-12-18,176.79,157.07,265.07,240.98
2025-12-19,173.6,154.55,265.34,238.38
2025-12-20,176.95,154.59,264.03,237.39
