date,IJH
2025-02-13,134.67
2025-02-14,134.44
2025-02-15,134.6
2025-02-16,136.73
2025-02-17,136.41
2025-02-18,135.3
2025-02-19,134.8
2025-02-20,136.04
2025-02-21,138.99
2025-02-22,137.75
2025-02-23,138.02
2025-02-24,138.79
2025-02-25,136.79
2025-02-26,136.9
2025-02-27,133.96
2025-02-28,130.47
2025-03-01,131.26
2025-03-02,130.57
2025-03-03,131.03
2025-03-04,131.06
2025-03-05,129.2
2025-03-06,129.18
2025-03-07,126.86
2025-03-08,129.57
2025-03-09,127.0
2025-03-10,126.69
2025-03-11,124.77
2025-03-12,125.9
2025-03-13,125.34
2025-03-14,124.42
2025-03-15,126.08
2025-03-16,126.2
2025-03-17,127.24
2025-03-18,125.43
2025-03-19,122.85
2025-03-20,123.11
2025-03-21,122.58
2025-03-22,123.79
2025-03-23,123.71
2025-03-24,124.15
2025-03-25,121.19
2025-03-26,124.68
2025-03-27,124.44
2025-03-28,125.8
2025-03-29,124.29
2025-03-30,124.92
2025-03-31,122.54
2025-04-01,123.44
2025-04-02,122.84
2025-04-03,122.95
2025-04-04,124.3
2025-04-05,122.07
2025-04-06,120.87
2025-04-07,121.76
2025-04-08,125.66
2025-04-09,125.46
2025-04-10,126.63
2025-04-11,126.5
2025-04-12,130.24
2025-04-13,126.9
2025-04-14,127.14
2025-04-15,124.1
2025-04-16,119.5
2025-04-17,120.09
2025-04-18,120.4
2025-04-19,119.95
2025-04-20,119.82
2025-04-21,125.45
2025-04-22,125.02
2025-04-23,126.04
2025-04-24,124.88
2025-04-25,125.49
2025-04-26,125.11
2025-04-27,124.4
2025-04-28,127.86
2025-04-29,130.18
2025-04-30,130.51
2025-05-01,126.06
2025-05-02,125.44
2025-05-03,130.59
2025-05-04,130.21
2025-05-05,132.43
2025-05-06,135.36
2025-05-07,135.87
2025-05-08,134.22
2025-05-09,129.38
2025-05-10,130.78
2025-05-11,129.24
2025-05-12,129.65
2025-05-13,127.28
2025-05-14,126.84
2025-05-15,126.97
2025-05-16,127.54
2025-05-17,125.48
2025-05-18,127.79
2025-05-19,126.71
2025-05-20,123.59
2025-05-21,123.45
2025-05-22,123.58
2025-05-23,123.94
2025-05-24,126.53
2025-05-25,126.14
2025-05-26,125.98
2025-05-27,123.96
2025-05-28,125.55
2025-05-29,125.96
2025-05-30,125.23
2025-05-31,121.71
2025-06-01,124.41
2025-06-02,122.18
2025-06-03,121.16
2025-06-04,121.87
2025-06-05,119.74
2025-06-06,117.12
2025-06-07,113.45
2025-06-08,114.73
2025-06-09,113.85
2025-06-10,118.91
2025-06-11,117.19
2025-06-12,115.63
2025-06-13,114.71
2025-06-14,115.18
2025-06-15,114.43
2025-06-16,115.54
2025-06-17,113.9
2025-06-18,111.6
2025-06-19,108.64
2025-06-20,105.07
2025-06-21,104.31
2025-06-22,103.89
2025-06-23,102.96
2025-06-24,104.93
2025-06-25,106.91
2025-06-26,106.43
2025-06-27,103.62
2025-06-28,102.79
2025-06-29,101.92
2025-06-30,100.96
2025-07-01,99.96
2025-07-02,99.03
2025-07-03,98.5
2025-07-04,97.61
2025-07-05,97.97
2025-07-06,98.55
2025-07-07,97.25
2025-07-08,99.15
2025-07-09,97.74
2025-07-10,95.42
2025-07-11,96.01
2025-07-12,94.88
2025-07-13,95.39
2025-07-14,92.0
2025-07-15,93.97
2025-07-16,94.96
2025-07-17,92.87
2025-07-18,90.86
2025-07-19,93.18
2025-07-20,92.2
2025-07-21,91.09
2025-07-22,88.04
2025-07-23,87.62
2025-07-24,87.36
2025-07-25,88.35
2025-07-26,86.54
2025-07-27,84.61
2025-07-28,85.22
2025-07-29,86.55
2025-07-30,84.55
2025-07-31,85.97
2025-08-01,86.06
2025-08-02,87.51
2025-08-03,87.46
2025-08-04,84.2
2025-08-05,84.05
2025-08-06,85.43
2025-08-07,84.32
2025-08-08,83.87
2025-08-09,83.7
2025-08-10,80.1
2025-08-11,82.14
2025-08-12,81.08
2025-08-13,81.73
2025-08-14,81.67
2025-08-15,83.25
2025-08-16,83.8
2025-08-17,83.54
2025-08-18,82.46
2025-08-19,83.49
2025-08-20,81.19
2025-08-21,82.02
2025-08-22,80.7
2025-08-23,82.26
2025-08-24,82.5
2025-08-25,83.34
2025-08-26,83.48
2025-08-27,81.33
2025-08-28,80.32
2025-08-29,81.17
2025-08-30,81.41
2025-08-31,82.9
2025-09-01,83.44
2025-09-02,82.27
2025-09-03,81.33
2025-09-04,81.5
2025-09-05,78.71
2025-09-06,80.72
2025-09-07,81.3
2025-09-08,82.84
2025-09-09,80.91
2025-09-10,82.47
2025-09-11,85.27
2025-09-12,83.62
2025-09-13,84.63
2025-09-14,84.67
2025-09-15,82.75
2025-09-16,83.41
2025-09-17,84.49
2025-09-18,83.77
2025-09-19,85.28
2025-09-20,83.19
2025-09-21,81.37
2025-09-22,81.57
2025-09-23,81.64
2025-09-24,80.81
2025-09-25,81.83
2025-09-26,82.52
2025-09-27,83.63
2025-09-28,83.51
2025-09-29,84.31
2025-09-30,83.79
2025-10-01,86.41
2025-10-02,85.4
2025-10-03,88.14
2025-10-04,88.23
2025-10-05,86.46
2025-10-06,88.27
2025-10-07,88.48
2025-10-08,89.66
2025-10-09,91.35
2025-10-10,91.86
2025-10-11,91.09
2025-10-12,92.47
2025-10-13,92.51
2025-10-14,93.51
2025-10-15,90.54
2025-10-16,91.19
2025-10-17,90.36
2025-10-18,92.65
2025-10-19,93.56
2025-10-20,93.94
2025-10-21,94.67
2025-10-22,93.3
2025-10-23,95.62
2025-10-24,98.53
2025-10-25,99.16
2025-10-26,101.57
2025-10-27,100.76
2025-10-28,99.6
2025-10-29,99.71
2025-10-30,100.41
2025-10-31,99.87
2025-11-01,100.72
2025-11-02,101.24
2025-11-03,99.77
2025-11-04,100.6
2025-11-05,101.95
2025-11-06,102.27
2025-11-07,104.09
2025-11-08,102.24
2025-11-09,103.01
2025-11-10,101.25
2025-11-11,99.61
2025-11-12,98.71
2025-11-13,97.37
2025-11-14,96.62
2025-11-15,96.35
2025-11-16,97.61
2025-11-17,97.19
2025-11-18,94.93
2025-11-19,96.6
2025-11-20,95.43
2025-11-21,95.4
2025-11-22,96.09
2025-11-23,96.42
2025-11-24,98.05
2025-11-25,98.81
2025-11-26,97.58
2025-11-27,100.82
2025-11-28,101.16
2025-11-29,100.99
2025-11-30,102.5
2025-12-01,102.93
2025-12-02,103.6
2025-12-03,107.52
2025-12-04,107.13
2025-12-05,106.68
2025-12-06,106.92
2025-12-07,108.69
2025-12-08,106.29
2025-12-09,103.21
2025-12-10,102.35
2025-12-11,99.89
2025-12-12,99.31
2025-12-13,100.1
2025-12-14,98.82
2025-12-15,96.75
2025-12-16,96.9
2025-12-17,98.2
2025-12-18,95.75
2025-12-19,96.98
2025-12-20,98.22
