date,ZS,DDOG,NET
2025-04-13,135.27,160.06,110.18
2025-04-14,133.19,159.67,111.2
2025-04-15,136.06,156.47,108.6
2025-04-16,136.58,154.42,108.65
2025-04-17,138.3,151.77,108.38
2025-04-18,139.91,150.45,105.94
2025-04-19,135.33,147.91,106.02
2025-04-20,135.37,148.31,105.68
2025-04-21,134.91,147.16,106.54
2025-04-22,132.68,148.63,106.72
2025-04-23,133.66,146.53,105.9
2025-04-24,137.17,147.17,107.42
2025-04-25,131.74,147.16,103.9
2025-04-26,130.75,148.1,103.85
2025-04-27,128.37,149.37,101.15
2025-04-28,128.57,150.89,99.82
2025-04-29,128.01,152.84,100.65
2025-04-30,126.91,154.16,98.78
2025-05-01,128.29,154.93,96.72
2025-05-02,131.5,153.46,100.23
2025-05-03,136.82,155.49,98.23
2025-05-04,135.37,153.94,100.71
2025-05-05,131.74,153.35,100.5
2025-05-06,132.91,151.44,99.76
2025-05-07,136.18,149.51,100.66
2025-05-08,137.91,148.88,102.73
2025-05-09,141.31,148.43,101.01
2025-05-10,140.9,146.69,100.29
2025-05-11,139.68,146.81,101.62
2025-05-12,139.99,147.23,102.11
2025-05-13,139.37,146.1,103.84
2025-05-14,140.83,151.19,104.7
2025-05-15,142.94,152.02,107.59
2025-05-16,145.26,152.37,107.93
2025-05-17,146.45,150.9,108.35
2025-05-18,147.06,151.29,108.92
2025-05-19,148.89,151.91,108.74
2025-05-20,144.58,151.98,110.18
2025-05-21,145.11,155.29,110.63
2025-05-22,145.29,151.4,111.99
2025-05-23,145.83,150.62,113.63
2025-05-24,145.71,152.3,114.42
2025-05-25,146.73,150.33,115.34
2025-05-26,145.54,146.92,113.65
2025-05-27,148.08,145.85,112.77
2025-05-28,149.2,148.21,114.25
2025-05-29,149.61,146.34,116.75
2025-05-30,148.12,145.63,113.41
2025-05-31,150.01,146.62,112.5
2025-06-01,150.55,145.42,112.6
2025-06-02,148.92,144.54,111.17
2025-06-03,148.87,143.19,109.85
2025-06-04,150.35,142.05,110.69
2025-06-05,151.66,139.64,113.37
2025-06-06,152.85,139.17,109.97
2025-06-07,153.14,141.46,109.74
2025-06-08,155.57,144.89,110.56
2025-06-09,158.54,147.68,111.91
2025-06-10,160.37,148.06,112.5
2025-06-11,159.04,151.82,115.53
2025-06-12,156.59,157.14,115.64
2025-06-13,155.39,157.64,117.97
2025-06-14,160.02,155.38,116.89
2025-06-15,160.78,158.51,117.05
2025-06-16,165.99,155.73,114.98
2025-06-17,165.77,153.74,116.59
2025-06-18,165.21,149.01,116.44
2025-06-19,165.11,150.71,117.12
2025-06-20,164.96,145.55,116.63
2025-06-21,163.13,147.79,117.71
2025-06-22,160.4,151.88,118.47
2025-06-23,161.69,155.89,116.76
2025-06-24,164.33,153.01,115.18
2025-06-25,170.44,148.81,115.19
2025-06-26,169.41,147.45,116.39
2025-06-27,168.6,149.47,119.7
2025-06-28,166.74,152.24,120.3
2025-06-29,169.63,153.84,122.18
2025-06-30,171.79,155.13,119.29
2025-07-01,169.62,160.7,122.95
2025-07-02,167.41,159.63,124.13
2025-07-03,169.88,157.85,124.1
2025-07-04,170.95,155.11,123.85
2025-07-05,172.98,156.2,121.86
2025-07-06,170.77,155.85,120.42
2025-07-07,166.05,157.86,123.93
2025-07-08,163.95,156.87,122.15
2025-07-09,165.72,158.43,120.36
2025-07-10,171.06,157.6,119.16
2025-07-11,170.04,157.29,117.07
2025-07-12,175.93,157.21,117.16
2025-07-13,178.21,153.28,119.13
2025-07-14,174.57,153.03,118.1
2025-07-15,175.22,154.4,115.73
2025-07-16,177.58,152.19,116.29
2025-07-17,171.21,156.62,116.25
2025-07-18,172.95,156.71,118.06
2025-07-19,176.08,155.32,117.31
2025-07-20,177.22,153.87,116.91
2025-07-21,177.14,157.11,116.71
2025-07-22,176.77,155.24,116.92
2025-07-23,176.25,156.01,116.29
2025-07-24,173.22,158.16,115.38
2025-07-25,171.52,159.55,112.24
2025-07-26,170.54,158.28,111.34
2025-07-27,170.91,160.36,112.59
2025-07-28,169.57,160.81,114.09
2025-07-29,167.45,156.74,113.34
2025-07-30,169.44,159.7,115.6
2025-07-31,170.47,158.31,115.61
2025-08-01,169.17,157.97,113.35
2025-08-02,170.54,158.78,110.6
2025-08-03,169.47,157.59,112.67
2025-08-04,169.71,159.46,112.1
2025-08-05,172.28,156.9,110.11
2025-08-06,170.81,155.63,106.44
2025-08-07,167.89,158.57,105.86
2025-08-08,167.61,158.71,106.55
2025-08-09,164.26,156.27,105.49
2025-08-10,163.66,156.53,103.88
2025-08-11,163.05,157.55,103.07
2025-08-12,157.11,153.88,105.05
2025-08-13,158.44,157.78,102.91
2025-08-14,158.08,162.09,101.97
2025-08-15,160.96,162.47,103.87
2025-08-16,161.56,162.06,104.69
2025-08-17,163.43,162.2,105.02
2025-08-18,166.43,164.45,104.06
2025-08-19,166.18,165.65,104.16
2025-08-20,166.26,166.33,103.37
2025-08-21,162.42,169.86,102.09
2025-08-22,165.52,172.83,100.48
2025-08-23,165.24,170.42,101.72
2025-08-24,162.83,172.78,101.67
2025-08-25,164.72,175.85,102.2
2025-08-26,159.42,176.67,102.49
2025-08-27,158.47,178.35,103.22
2025-08-28,160.71,177.61,102.87
2025-08-29,159.73,174.49,102.18
2025-08-30,158.09,179.52,100.98
2025-08-31,157.19,176.0,98.89
2025-09-01,152.53,180.53,97.28
2025-09-02,154.24,180.44,96.79
2025-09-03,154.03,183.91,94.51
2025-09-04,153.48,184.06,92.6
2025-09-05,152.94,186.74,94.1
2025-09-06,153.05,188.09,94.46
2025-09-07,154.62,186.3,93.87
2025-09-08,154.58,186.77,97.11
2025-09-09,151.5,186.46,94.76
2025-09-10,152.88,188.35,96.19
2025-09-11,154.1,188.85,96.08
2025-09-12,154.66,189.75,97.26
2025-09-13,157.23,186.93,97.47
2025-09-14,157.38,183.44,94.78
2025-09-15,160.08,183.72,94.96
2025-09-16,163.54,184.31,95.49
2025-09-17,165.05,181.5,92.4
2025-09-18,163.28,183.15,95.14
2025-09-19,163.04,184.93,95.63
2025-09-20,166.15,185.45,96.64
2025-09-21,162.5,185.59,95.0
2025-09-22,161.63,182.15,96.03
2025-09-23,160.88,178.74,97.65
2025-09-24,158.87,179.88,98.07
2025-09-25,161.03,177.74,98.1
2025-09-26,162.02,175.81,96.84
2025-09-27,160.37,176.63,96.57
2025-09-28,161.91,182.12,95.88
2025-09-29,161.61,181.12,96.75
2025-09-30,159.53,186.79,95.56
2025-10-01,157.9,186.67,96.42
2025-10-02,159.02,188.34,95.26
2025-10-03,161.34,191.14,94.93
2025-10-04,160.24,194.2,95.85
2025-10-05,161.63,195.28,94.89
2025-10-06,165.54,194.71,95.86
2025-10-07,162.5,197.22,96.71
2025-10-08,163.45,198.58,96.36
2025-10-09,165.57,197.38,98.09
2025-10-10,165.41,201.65,98.25
2025-10-11,168.57,203.13,99.93
2025-10-12,174.21,200.95,102.66
2025-10-13,175.2,198.44,102.34
2025-10-14,174.67,204.37,103.38
2025-10-15,177.32,202.96,102.45
2025-10-16,179.64,205.36,100.91
2025-10-17,172.95,206.62,100.67
2025-10-18,173.03,208.95,98.66
2025-10-19,172.09,215.05,97.32
2025-10-20,173.2,218.37,98.23
2025-10-21,172.78,221.22,97.52
2025-10-22,172.65,220.68,98.61
2025-10-23,170.5,218.59,99.11
2025-10-24,172.46,226.63,101.91
2025-10-25,176.83,226.6,102.76
2025-10-26,174.67,226.35,104.53
2025-10-27,171.1,227.45,105.21
2025-10-28,171.23,228.21,105.75
2025-10-29,171.25,233.78,107.65
2025-10-30,174.34,235.79,108.79
2025-10-31,171.21,231.27,109.19
2025-11-01,169.92,229.1,109.58
2025-11-02,164.53,229.25,110.52
2025-11-03,168.0,232.89,109.46
2025-11-04,168.72,227.7,108.34
2025-11-05,167.63,229.5,110.71
2025-11-06,164.39,232.13,113.86
2025-11-07,161.44,235.32,112.33
2025-11-08,162.52,235.16,111.26
2025-11-09,159.9,238.97,113.23
2025-11-10,160.23,236.17,114.19
2025-11-11,165.22,239.64,115.4
2025-11-12,164.44,239.54,117.01
2025-11-13,162.15,239.81,116.65
2025-11-14,163.16,240.05,117.29
2025-11-15,160.25,242.51,117.79
2025-11-16,164.46,238.61,116.33
2025-11-17,168.0,241.9,116.94
2025-11-18,167.68,245.18,119.17
2025-11-19,165.5,244.19,118.63
2025-11-20,164.53,244.32,118.96
2025-11-21,163.88,241.3,119.39
2025-11-22,164.91,237.22,118.94
2025-11-23,167.56,238.04,120.21
2025-11-24,165.04,238.88,119.04
2025-11-25,167.62,237.8,121.48
2025-11-26,169.26,233.46,122.68
2025-11-27,168.06,235.17,121.02
2025-11-28,165.4,234.02,124.16
2025-11-29,165.77,231.5,124.54
2025-11-30,163.22,236.05,123.25
2025-12-01,165.81,232.72,125.35
2025-12-02,163.09,234.79,126.34
2025-12-03,164.52,229.63,123.05
2025-12-04,164.4,224.8,122.14
2025-12-05,163.1,226.54,122.71
2025-12-06,162.93,225.51,118.8
2025-12-07,165.65,221.67,119.01
2025-12-08,162.77,224.94,119.35
2025-12-09,161.85,226.3,117.29
2025-12-10,160.1,219.19,117.83
2025-12-11,160.09,222.46,117.9
2025-12-12,158.52,219.02,115.85
2025-12-13,154.4,213.52,117.51
2025-12-14,152.03,210.99,119.04
2025-12-15,155.84,210.97,118.59
2025-12-16,156.5,211.32,118.29
2025-12-17,157.08,206.24,119.64
2025-12-18,156.49,201.97,119.34
2025-12-19,156.45,199.77,115.94
2025-12-20,155.51,197.78,116.85
