date,IONQ,RGTI,IBM,GOOGL,MSFT,NVDA,AMD
2024-12-14,243.43,162.25,203.94,219.11,114.42,178.46,179.95
2024-12-15,248.43,162.32,202.35,221.3,113.74,174.78,178.39
2024-12-16,254.17,162.55,206.02,225.69,112.07,174.91,180.29
2024-12-17,256.9,157.8,212.66,224.92,109.35,177.37,178.29
2024-12-18,254.36,158.22,208.2,225.44,110.75,175.04,178.35
2024-12-19,249.46,158.11,202.3,222.08,110.93,179.12,176.68
2024-12-20,253.77,155.11,201.65,217.93,108.84,180.58,171.65
2024-12-21,253.66,155.39,197.16,212.67,106.78,183.46,169.99
2024-12-22,258.5,154.54,197.4,209.95,106.3,181.74,171.79
2024-12-23,256.05,154.11,199.71,214.94,109.01,184.16,165.77
2024-12-24,260.44,154.25,204.29,210.04,108.64,181.24,166.48
2024-12-25,266.07,153.23,205.01,209.19,106.24,183.75,163.6
2024-12-26,265.23,153.88,204.52,205.24,105.91,184.32,165.18
2024-12-27,266.59,153.75,198.55,203.49,105.53,185.94,167.03
2024-12-28,262.08,154.92,198.73,204.11,101.31,182.75,166.68
2024-12-29,257.75,153.77,199.04,202.07,101.28,180.39,166.34
2024-12-30,259.1,151.39,201.05,205.47,100.98,182.1,164.41
2024-12-31,257.13,149.86,199.01,210.3,102.08,179.6,161.18
2025-01-01,258.19,153.18,197.81,203.31,104.96,180.93,165.36
2025-01-02,258.96,155.45,193.52,201.33,106.79,177.31,163.3
2025-01-03,261.62,158.36,186.97,201.61,106.41,179.66,167.22
2025-01-04,263.83,161.48,183.95,205.12,104.7,176.43,165.15
2025-01-05,267.6,160.43,179.71,203.82,108.79,177.98,166.53
2025-01-06,268.65,161.22,180.71,203.86,108.95,179.74,163.77
2025-01-07,270.02,161.49,179.4,200.43,109.02,177.95,165.14
2025-01-08,270.15,163.17,178.04,195.92,109.04,179.59,164.42
2025-01-09,274.54,162.54,175.5,200.27,109.42,180.38,163.73
2025-01-10,282.25,162.85,167.08,194.89,109.23,179.01,165.31
2025-01-11,285.57,163.11,170.94,201.79,108.35,176.39,164.23
2025-01-12,287.84,164.49,168.46,204.09,107.51,171.29,160.79
2025-01-13,287.05,166.19,167.5,206.27,107.52,172.27,162.71
2025-01-14,288.24,166.51,163.93,208.16,106.69,168.32,159.99
2025-01-15,286.67,166.9,166.4,207.47,105.6,168.64,161.31
2025-01-16,284.17,167.55,166.84,208.79,105.83,168.06,163.75
2025-01-17,283.47,171.77,164.86,208.31,105.47,169.85,162.91
2025-01-18,291.23,167.4,163.97,210.14,107.91,169.17,165.88
2025-01-19,291.0,165.05,168.18,210.14,103.67,168.42,167.16
2025-01-20,298.23,166.8,168.08,207.25,105.42,170.35,165.5
2025-01-21,294.03,167.56,167.71,204.65,107.44,171.29,169.06
2025-01-22,294.79,168.3,165.42,201.73,104.15,172.19,166.25
2025-01-23,298.13,170.07,160.8,204.77,103.67,173.49,165.39
2025-01-24,301.73,170.7,160.5,202.97,103.15,169.58,164.97
2025-01-25,296.98,169.36,161.36,197.25,101.02,171.59,166.55
2025-01-26,291.71,171.04,164.1,198.52,99.89,173.25,169.42
2025-01-27,294.57,171.18,158.65,203.13,98.28,170.7,172.18
2025-01-28,292.27,170.11,156.05,205.59,100.91,170.16,172.84
2025-01-29,295.2,171.96,154.77,203.83,102.38,170.14,172.2
2025-01-30,301.7,173.72,154.84,199.08,104.38,169.88,167.57
2025-01-31,298.88,174.37,154.58,198.78,105.56,170.82,164.35
2025-02-01,296.69,178.95,154.38,198.41,103.83,174.57,168.79
2025-02-02,287.82,182.6,155.4,195.62,103.06,177.49,164.22
2025-02-03,291.43,185.44,153.37,197.34,103.87,174.09,162.37
2025-02-04,300.88,192.67,155.6,202.9,102.02,175.8,165.24
2025-02-05,295.41,192.34,156.69,203.68,103.16,179.39,165.84
2025-02-06,301.07,191.1,156.01,204.27,102.84,180.52,168.24
2025-02-07,307.25,193.66,159.84,201.5,102.31,183.57,169.69
2025-02-08,311.02,193.02,163.65,205.83,103.46,189.2,173.51
2025-02-09,308.35,193.15,166.02,205.7,104.2,192.2,174.37
2025-02-10,307.37,190.39,158.59,204.01,103.68,193.01,176.19
2025-02-11,310.08,192.22,162.42,204.31,105.54,196.14,174.37
2025-02-12,312.66,188.07,164.44,205.86,103.88,196.66,175.99
2025-02-13,311.64,187.9,169.47,206.39,104.89,196.83,175.03
2025-02-14,313.95,187.95,172.7,210.23,105.88,195.89,173.93
2025-02-15,312.41,186.81,176.88,211.54,105.44,200.58,176.35
2025-02-16,312.04,181.98,179.3,210.75,106.01,198.22,178.82
2025-02-17,311.24,177.25,183.01,212.12,104.07,202.87,183.44
2025-02-18,316.51,175.36,188.58,213.82,105.57,204.5,188.0
2025-02-19,309.89,176.86,189.29,209.77,105.33,200.31,190.68
2025-02-20,313.06,177.72,184.92,213.49,104.55,201.51,185.85
2025-02-21,314.91,177.76,184.16,212.63,106.25,195.27,191.04
2025-02-22,304.35,175.49,185.33,211.86,105.18,197.19,193.77
2025-02-23,308.47,176.48,185.63,214.35,103.01,199.91,191.64
2025-02-24,313.24,171.81,182.25,216.86,100.66,198.24,193.83
2025-02-25,311.49,165.72,177.88,214.69,101.62,198.7,190.91
2025-02-26,313.91,165.19,175.99,217.39,99.72,204.63,192.78
2025-02-27,315.33,163.92,178.21,215.67,102.4,203.18,189.07
2025-02-28,326.04,166.5,182.53,221.66,99.25,200.05,186.87
2025-03-01,328.66,166.98,185.13,219.02,101.82,204.6,188.95
2025-03-02,329.35,171.19,188.16,219.91,102.2,210.72,192.09
2025-03-03,334.92,169.87,188.02,217.44,102.1,210.84,193.12
2025-03-04,343.17,171.2,183.2,224.8,101.32,214.14,192.39
2025-03-05,354.0,170.63,182.04,220.74,101.97,218.56,186.38
2025-03-06,351.01,174.26,181.43,222.59,101.97,216.23,185.89
2025-03-07,353.44,173.81,180.17,220.25,103.71,214.77,187.47
2025-03-08,350.33,176.12,180.4,219.19,103.94,218.84,186.68
2025-03-09,362.7,173.37,181.69,220.79,104.22,224.48,186.71
2025-03-10,363.14,172.37,184.1,224.95,103.71,226.49,186.28
2025-03-11,368.53,172.24,183.43,230.54,103.67,223.61,185.47
2025-03-12,367.8,175.59,178.28,225.34,104.2,230.39,185.78
2025-03-13,370.74,169.89,177.08,226.36,101.58,228.67,185.11
2025-03-14,360.89,169.13,177.28,231.43,99.58,227.64,189.21
2025-03-15,366.7,168.28,180.62,225.69,100.74,228.92,183.04
2025-03-16,374.04,163.13,179.18,226.87,101.04,234.37,181.64
2025-03-17,370.91,162.07,180.64,226.98,100.82,237.49,179.36
2025-03-18,361.02,158.41,181.52,228.5,100.89,239.09,180.04
2025-03-19,369.23,152.95,181.73,225.97,101.47,240.87,180.33
2025-03-20,376.93,152.42,184.36,221.22,100.7,241.14,184.81
2025-03-21,381.59,151.82,182.62,214.98,99.57,243.28,190.31
2025-03-22,380.72,151.34,181.14,218.24,99.92,234.17,188.2
2025-03-23,379.31,151.99,181.2,221.96,98.5,233.25,188.3
2025-03-24,387.09,150.06,179.55,223.08,99.15,234.21,188.95
2025-03-25,385.42,154.17,181.0,221.4,96.67,230.28,186.78
2025-03-26,386.53,154.17,179.16,216.12,98.21,231.73,188.63
2025-03-27,386.69,157.22,179.86,218.06,98.96,231.14,188.05
2025-03-28,388.78,153.34,179.68,214.56,99.39,237.34,185.13
2025-03-29,388.35,151.49,180.35,212.38,100.9,243.06,184.45
2025-03-30,388.6,153.13,179.19,210.62,103.47,241.48,181.78
2025-03-31,399.24,152.69,178.37,210.1,105.1,241.06,184.7
2025-04-01,402.58,150.3,178.72,207.81,102.25,240.91,190.06
2025-04-02,405.09,146.23,179.35,208.02,100.34,239.4,190.85
2025-04-03,410.29,147.91,179.43,206.19,99.45,240.22,191.27
2025-04-04,403.61,149.43,184.1,208.46,99.54,237.61,191.8
2025-04-05,409.97,150.05,181.46,211.79,100.36,233.69,195.3
2025-04-06,412.04,149.01,181.38,212.24,99.32,235.99,198.79
2025-04-07,408.43,146.6,177.19,213.82,99.64,238.34,198.55
2025-04-08,408.05,146.56,178.26,220.72,98.56,235.58,199.4
2025-04-09,411.51,143.74,175.37,216.94,97.71,238.87,201.45
2025-04-10,412.25,142.19,174.73,213.04,95.7,236.72,198.11
2025-04-11,419.17,144.95,173.84,215.37,94.42,237.74,201.82
2025-04-12,414.66,141.0,174.66,221.76,92.55,240.78,207.17
2025-04-13,407.87,142.5,173.3,221.01,91.24,240.78,210.89
2025-04-14,403.41,145.77,171.84,226.84,92.73,242.55,207.06
2025-04-15,401.13,147.63,175.62,227.28,91.46,240.79,201.04
2025-04-16,402.14,148.58,176.46,225.08,95.11,240.2,203.28
2025-04-17,400.34,147.62,175.06,221.84,95.87,239.58,201.06
2025-04-18,393.41,146.27,174.49,224.05,96.18,237.01,202.03
2025-04-19,385.63,141.41,178.89,221.09,94.99,236.5,206.78
2025-04-20,378.42,141.56,178.34,221.47,96.03,231.13,204.85
2025-04-21,376.98,140.77,176.59,226.84,95.25,229.54,203.79
2025-04-22,372.58,139.37,174.86,225.91,95.47,228.68,204.74
2025-04-23,370.62,139.4,173.51,230.47,99.19,227.91,200.86
2025-04-24,378.18,139.6,172.05,226.39,99.1,227.2,198.67
2025-04-25,371.74,138.34,168.83,224.69,100.85,227.1,198.85
2025-04-26,373.6,141.75,166.07,220.06,99.84,228.85,198.05
2025-04-27,367.14,143.38,164.09,220.41,99.84,231.97,199.96
2025-04-28,359.97,145.38,165.63,223.1,102.54,229.82,208.35
2025-04-29,362.16,145.22,164.76,223.46,101.63,225.79,208.77
2025-04-30,366.01,146.41,164.33,227.69,104.44,222.37,206.24
2025-05-01,370.52,144.52,167.55,225.24,105.6,220.86,210.73
2025-05-02,376.88,146.03,170.88,226.12,104.76,219.8,205.81
2025-05-03,376.07,145.66,170.25,224.44,105.81,217.37,201.63
2025-05-04,377.81,143.5,168.72,225.77,107.41,213.26,199.93
2025-05-05,375.81,143.52,166.62,227.59,108.46,211.9,199.18
2025-05-06,383.29,142.96,168.43,229.69,105.96,212.59,197.43
2025-05-07,378.24,148.02,168.0,226.12,104.86,214.59,197.43
2025-05-08,381.27,149.06,167.11,223.21,104.52,212.9,198.35
2025-05-09,375.37,152.66,165.15,220.97,104.46,211.69,201.63
2025-05-10,376.18,155.33,163.33,220.28,105.48,208.85,202.0
2025-05-11,367.3,155.5,164.19,220.68,105.82,208.86,200.4
2025-05-12,368.73,154.54,161.04,223.14,103.75,206.31,203.55
2025-05-13,379.84,150.58,163.52,220.41,104.39,208.18,201.16
2025-05-14,376.84,148.69,162.29,215.23,105.4,202.71,196.33
2025-05-15,375.66,150.24,162.01,222.29,106.34,201.72,199.98
2025-05-16,380.73,149.64,158.84,218.63,108.12,202.73,203.5
2025-05-17,381.18,150.56,158.89,221.48,109.52,203.39,201.19
2025-05-18,388.36,146.05,158.19,221.7,110.33,211.71,200.08
2025-05-19,390.84,147.11,158.15,222.65,110.27,212.93,197.43
2025-05-20,396.17,149.61,161.72,222.75,107.58,209.82,198.5
2025-05-21,384.62,145.7,162.23,221.58,108.32,209.63,203.75
2025-05-22,385.34,146.58,160.38,223.23,108.72,204.15,206.0
2025-05-23,379.13,149.61,158.75,221.87,109.21,204.0,209.31
2025-05-24,377.07,153.45,160.24,225.87,107.18,201.56,211.99
2025-05-25,379.7,152.37,163.45,227.9,105.49,204.43,212.09
2025-05-26,378.59,154.23,164.22,230.07,107.21,202.84,215.64
2025-05-27,374.32,157.61,166.0,228.43,107.2,202.59,218.16
2025-05-28,381.55,158.64,167.6,227.74,108.35,200.76,222.98
2025-05-29,387.51,161.78,171.25,223.79,108.45,206.1,221.56
2025-05-30,379.73,161.77,166.33,222.72,108.55,205.21,215.89
2025-05-31,384.26,162.81,168.07,219.37,110.14,210.95,219.38
2025-06-01,385.43,161.37,170.64,223.8,109.34,213.63,220.64
2025-06-02,386.99,161.06,167.3,224.08,109.55,215.28,219.78
2025-06-03,396.21,162.18,165.16,224.77,108.85,216.58,219.09
2025-06-04,397.33,160.57,163.13,224.12,108.19,217.97,227.6
2025-06-05,401.79,160.11,161.43,224.9,107.74,211.77,225.52
2025-06-06,403.28,162.02,160.35,233.32,108.16,210.99,222.75
2025-06-07,404.81,167.09,161.01,232.39,107.43,213.77,223.14
2025-06-08,399.39,162.04,163.18,230.24,109.51,213.72,227.21
2025-06-09,414.29,166.92,165.91,232.18,108.1,209.33,235.08
2025-06-10,395.38,166.35,163.91,223.5,107.85,209.27,237.52
2025-06-11,391.28,168.85,161.91,223.83,107.19,214.72,233.11
2025-06-12,388.61,171.87,165.19,222.69,109.57,218.84,240.12
2025-06-13,394.1,175.99,166.87,219.49,109.95,218.75,240.17
2025-06-14,385.95,174.16,167.17,221.27,111.7,221.98,237.27
2025-06-15,385.13,173.65,168.44,221.56,109.27,220.87,233.55
2025-06-16,389.87,173.6,168.44,215.68,109.76,215.34,236.6
2025-06-17,382.94,172.76,169.85,213.7,111.28,212.46,237.56
2025-06-18,382.34,176.26,169.08,204.55,111.48,217.55,238.91
2025-06-19,381.57,176.15,169.85,205.55,113.31,216.76,243.64
2025-06-20,378.34,171.96,166.09,206.52,112.49,216.08,240.83
2025-06-21,378.74,170.41,164.46,204.17,114.93,215.21,245.89
2025-06-22,376.51,166.46,162.87,205.93,118.95,221.47,244.09
2025-06-23,382.16,165.97,162.03,202.07,118.36,226.98,252.14
2025-06-24,385.39,167.73,159.86,199.24,117.63,234.65,254.53
2025-06-25,384.52,166.17,158.66,200.59,120.25,234.21,251.14
2025-06-26,385.09,165.25,155.14,198.61,123.16,235.36,243.64
2025-06-27,383.03,164.65,156.49,198.53,122.25,230.12,246.72
2025-06-28,390.9,165.08,156.38,196.95,121.54,235.34,245.46
2025-06-29,393.75,166.44,152.46,195.83,121.09,231.33,245.01
2025-06-30,393.12,168.54,150.62,194.85,118.71,232.2,247.94
2025-07-01,395.9,174.32,151.46,192.88,117.13,228.5,251.83
2025-07-02,407.32,174.73,150.3,193.85,115.43,226.59,256.57
2025-07-03,403.33,176.75,148.81,192.12,114.16,223.86,252.18
2025-07-04,408.89,172.63,148.71,192.27,114.15,221.93,257.7
2025-07-05,411.63,171.73,149.55,190.26,114.61,220.25,255.59
2025-07-06,410.5,171.12,146.41,185.98,117.34,218.54,247.07
2025-07-07,406.22,168.6,147.69,188.62,115.64,221.39,242.83
2025-07-08,411.66,167.33,145.99,190.12,117.4,217.83,243.74
2025-07-09,413.66,167.14,146.02,196.74,117.08,218.66,240.28
2025-07-10,422.82,165.96,146.02,193.76,117.06,222.76,240.09
2025-07-11,430.44,172.52,144.94,193.25,118.3,221.16,241.43
2025-07-12,432.6,173.93,142.78,192.98,116.37,218.89,240.89
2025-07-13,428.13,179.24,142.24,195.94,117.09,218.24,239.22
2025-07-14,441.53,183.34,145.78,194.54,117.44,222.21,234.85
2025-07-15,437.65,181.67,142.88,191.22,118.37,222.97,235.05
2025-07-16,443.32,181.87,146.58,194.78,118.94,221.3,227.89
2025-07-17,431.76,180.77,146.08,193.96,123.38,223.02,225.66
2025-07-18,442.15,180.42,146.23,196.61,122.26,219.44,222.63
2025-07-19,428.88,177.87,143.92,198.96,121.35,221.8,221.94
2025-07-20,427.08,176.78,142.32,198.97,120.28,223.27,221.34
2025-07-21,420.49,177.82,141.32,198.55,119.33,222.35,224.64
2025-07-22,429.5,178.8,139.18,197.48,118.25,219.66,230.09
2025-07-23,424.94,179.57,138.81,197.53,120.42,216.85,226.34
2025-07-24,428.52,179.5,138.03,200.19,123.05,218.7,233.22
2025-07-25,430.45,181.91,141.93,197.9,122.06,222.84,230.61
2025-07-26,421.33,181.3,139.52,198.32,120.59,220.82,231.33
2025-07-27,428.05,185.17,139.81,195.09,121.51,222.45,233.21
2025-07-28,428.16,180.13,140.4,192.28,120.56,215.6,241.88
2025-07-29,438.06,182.0,138.21,192.29,121.76,213.81,240.04
2025-07-30,442.31,183.42,139.7,186.73,122.2,213.82,233.69
2025-07-31,437.49,181.66,138.94,192.59,119.48,211.01,239.03
2025-08-01,436.38,180.78,133.82,189.24,122.31,208.15,236.16
2025-08-02,435.1,182.13,135.21,189.22,125.67,206.17,235.0
2025-08-03,440.39,184.72,133.01,192.63,124.58,207.18,231.17
2025-08-04,445.54,179.97,130.98,190.24,123.91,206.7,230.05
2025-08-05,441.26,181.76,132.4,183.76,124.51,199.86,227.26
2025-08-06,447.75,180.6,131.78,182.63,125.19,193.6,229.68
2025-08-07,450.71,183.74,133.66,180.32,126.49,191.94,230.07
2025-08-08,455.46,178.76,136.15,174.25,130.37,193.35,227.84
2025-08-09,459.22,185.41,134.9,175.09,130.09,185.48,231.36
2025-08-10,465.16,183.03,136.58,175.72,128.6,184.18,232.36
2025-08-11,458.89,187.05,135.1,178.82,126.0,182.82,226.04
2025-08-12,460.42,186.95,139.69,175.9,124.68,186.72,229.27
2025-08-13,467.61,184.75,138.31,171.77,124.68,185.74,230.02
2025-08-14,475.67,185.58,140.5,170.81,128.1,186.89,234.93
2025-08-15,483.86,188.53,142.35,170.66,127.17,187.38,235.49
2025-08-16,477.67,184.24,143.1,173.11,127.66,181.49,232.81
2025-08-17,492.8,186.27,141.73,176.86,127.69,183.67,232.21
2025-08-18,506.09,186.33,141.48,180.17,130.03,184.36,235.13
2025-08-19,499.78,188.03,136.98,181.01,135.03,185.85,232.53
2025-08-20,497.78,188.16,137.51,183.27,134.02,196.89,231.11
2025-08-21,503.15,186.64,138.3,181.6,133.1,190.84,230.45
2025-08-22,497.96,183.61,138.65,182.15,135.25,195.87,226.6
2025-08-23,502.55,185.56,132.53,178.98,136.7,195.12,224.14
2025-08-24,504.4,187.51,130.08,179.24,140.56,196.06,224.83
2025-08-25,514.4,189.47,128.69,179.57,141.86,196.03,229.0
2025-08-26,517.97,190.78,129.32,184.3,141.17,194.88,230.2
2025-08-27,502.46,193.57,129.94,183.76,142.49,193.31,230.16
2025-08-28,509.21,197.75,129.67,184.1,144.93,194.36,227.4
2025-08-29,518.86,192.29,130.97,184.84,146.79,190.03,231.25
2025-08-30,518.62,185.63,129.02,183.67,147.98,192.27,232.87
2025-08-31,520.03,190.5,130.27,181.56,150.42,191.16,230.52
2025-09-01,521.47,186.77,131.26,185.18,153.13,188.02,233.74
2025-09-02,517.15,183.82,132.07,182.55,156.38,186.84,235.82
2025-09-03,536.57,183.12,131.78,179.01,157.98,190.46,233.06
2025-09-04,530.54,178.67,135.46,180.92,157.67,189.03,232.83
2025-09-05,538.19,177.73,136.53,184.16,158.09,190.14,231.22
2025-09-06,545.91,175.29,134.62,183.0,161.03,188.15,240.47
2025-09-07,542.44,174.77,135.19,181.89,159.14,190.38,242.51
2025-09-08,535.09,175.59,136.78,182.76,160.1,192.43,243.31
