date,IBM,MSFT,GOOGL,NVDA,AMZN,SNOW
2024-12-22,197.4,106.3,209.95,181.74,182.85,163.93
2024-12-23,199.71,109.01,214.94,184.16,180.01,162.25
2024-12-24,204.29,108.64,210.04,181.24,180.17,160.38
2024-12-25,205.01,106.24,209.19,183.75,184.08,157.85
2024-12-26,204.52,105.91,205.24,184.32,183.95,156.94
2024-12-27,198.55,105.53,203.49,185.94,185.29,157.17
2024-12-28,198.73,101.31,204.11,182.75,182.43,153.99
2024-12-29,199.04,101.28,202.07,180.39,183.69,152.59
2024-12-30,201.05,100.98,205.47,182.1,183.27,153.02
2024-12-31,199.01,102.08,210.3,179.6,186.07,153.18
2025-01-01,197.81,104.96,203.31,180.93,189.48,147.13
2025-01-02,193.52,106.79,201.33,177.31,196.93,148.6
2025-01-03,186.97,106.41,201.61,179.66,198.74,151.43
2025-01-04,183.95,104.7,205.12,176.43,199.81,150.21
2025-01-05,179.71,108.79,203.82,177.98,200.49,146.37
2025-01-06,180.71,108.95,203.86,179.74,199.53,144.77
2025-01-07,179.4,109.02,200.43,177.95,200.65,143.12
2025-01-08,178.04,109.04,195.92,179.59,199.86,145.77
2025-01-09,175.5,109.42,200.27,180.38,200.46,143.45
2025-01-10,167.08,109.23,194.89,179.01,204.52,142.75
2025-01-11,170.94,108.35,201.79,176.39,201.54,146.41
2025-01-12,168.46,107.51,204.09,171.29,205.09,146.84
2025-01-13,167.5,107.52,206.27,172.27,209.24,147.34
2025-01-14,163.93,106.69,208.16,168.32,208.97,147.19
2025-01-15,166.4,105.6,207.47,168.64,202.43,149.43
2025-01-16,166.84,105.83,208.79,168.06,200.68,150.41
2025-01-17,164.86,105.47,208.31,169.85,204.69,154.66
2025-01-18,163.97,107.91,210.14,169.17,204.72,159.29
2025-01-19,168.18,103.67,210.14,168.42,201.75,160.12
2025-01-20,168.08,105.42,207.25,170.35,200.33,160.11
2025-01-21,167.71,107.44,204.65,171.29,202.95,160.59
2025-01-22,165.42,104.15,201.73,172.19,204.72,159.3
2025-01-23,160.8,103.67,204.77,173.49,204.09,159.7
2025-01-24,160.5,103.15,202.97,169.58,203.07,156.33
2025-01-25,161.36,101.02,197.25,171.59,201.97,154.74
2025-01-26,164.1,99.89,198.52,173.25,199.28,156.64
2025-01-27,158.65,98.28,203.13,170.7,204.21,157.98
2025-01-28,156.05,100.91,205.59,170.16,203.32,157.76
2025-01-29,154.77,102.38,203.83,170.14,207.14,158.83
2025-01-30,154.84,104.38,199.08,169.88,211.97,162.5
2025-01-31,154.58,105.56,198.78,170.82,215.25,161.64
2025-02-01,154.38,103.83,198.41,174.57,213.96,158.24
2025-02-02,155.4,103.06,195.62,177.49,215.36,159.81
2025-02-03,153.37,103.87,197.34,174.09,215.39,161.17
2025-02-04,155.6,102.02,202.9,175.8,212.58,163.09
2025-02-05,156.69,103.16,203.68,179.39,213.72,160.24
2025-02-06,156.01,102.84,204.27,180.52,210.05,156.72
2025-02-07,159.84,102.31,201.5,183.57,213.9,157.42
2025-02-08,163.65,103.46,205.83,189.2,212.51,157.96
2025-02-09,166.02,104.2,205.7,192.2,213.26,157.19
2025-02-10,158.59,103.68,204.01,193.01,214.27,160.68
2025-02-11,162.42,105.54,204.31,196.14,213.55,160.74
2025-02-12,164.44,103.88,205.86,196.66,215.53,163.78
2025-02-13,169.47,104.89,206.39,196.83,214.11,166.02
2025-02-14,172.7,105.88,210.23,195.89,217.01,163.39
2025-02-15,176.88,105.44,211.54,200.58,212.74,161.3
2025-02-16,179.3,106.01,210.75,198.22,213.25,158.28
2025-02-17,183.01,104.07,212.12,202.87,219.56,159.38
2025-02-18,188.58,105.57,213.82,204.5,216.37,159.7
2025-02-19,189.29,105.33,209.77,200.31,214.28,163.01
2025-02-20,184.92,104.55,213.49,201.51,216.04,164.55
2025-02-21,184.16,106.25,212.63,195.27,216.73,161.43
2025-02-22,185.33,105.18,211.86,197.19,217.98,160.39
2025-02-23,185.63,103.01,214.35,199.91,219.69,155.39
2025-02-24,182.25,100.66,216.86,198.24,221.89,156.15
2025-02-25,177.88,101.62,214.69,198.7,225.69,162.77
2025-02-26,175.99,99.72,217.39,204.63,227.19,163.17
2025-02-27,178.21,102.4,215.67,203.18,226.48,163.74
2025-02-28,182.53,99.25,221.66,200.05,228.88,163.78
2025-03-01,185.13,101.82,219.02,204.6,235.52,164.74
2025-03-02,188.16,102.2,219.91,210.72,235.17,164.43
2025-03-03,188.02,102.1,217.44,210.84,231.85,166.04
2025-03-04,183.2,101.32,224.8,214.14,235.82,164.2
2025-03-05,182.04,101.97,220.74,218.56,235.51,162.48
2025-03-06,181.43,101.97,222.59,216.23,227.95,159.41
2025-03-07,180.17,103.71,220.25,214.77,230.96,159.41
2025-03-08,180.4,103.94,219.19,218.84,229.22,156.85
2025-03-09,181.69,104.22,220.79,224.48,229.03,160.34
2025-03-10,184.1,103.71,224.95,226.49,230.28,159.39
2025-03-11,183.43,103.67,230.54,223.61,231.05,154.76
2025-03-12,178.28,104.2,225.34,230.39,233.63,152.2
2025-03-13,177.08,101.58,226.36,228.67,232.22,152.59
2025-03-14,177.28,99.58,231.43,227.64,234.12,154.16
2025-03-15,180.62,100.74,225.69,228.92,233.33,155.05
2025-03-16,179.18,101.04,226.87,234.37,236.03,153.22
2025-03-17,180.64,100.82,226.98,237.49,238.33,151.98
2025-03-18,181.52,100.89,228.5,239.09,235.1,150.49
2025-03-19,181.73,101.47,225.97,240.87,239.05,151.84
2025-03-20,184.36,100.7,221.22,241.14,237.25,152.18
2025-03-21,182.62,99.57,214.98,243.28,240.24,151.24
2025-03-22,181.14,99.92,218.24,234.17,241.69,149.82
2025-03-23,181.2,98.5,221.96,233.25,248.47,148.72
2025-03-24,179.55,99.15,223.08,234.21,247.76,148.81
2025-03-25,181.0,96.67,221.4,230.28,246.59,151.88
2025-03-26,179.16,98.21,216.12,231.73,246.64,152.38
2025-03-27,179.86,98.96,218.06,231.14,245.64,151.68
2025-03-28,179.68,99.39,214.56,237.34,248.71,150.82
2025-03-29,180.35,100.9,212.38,243.06,242.8,154.74
2025-03-30,179.19,103.47,210.62,241.48,239.09,156.73
2025-03-31,178.37,105.1,210.1,241.06,235.38,159.11
2025-04-01,178.72,102.25,207.81,240.91,238.85,160.98
2025-04-02,179.35,100.34,208.02,239.4,245.1,160.94
2025-04-03,179.43,99.45,206.19,240.22,244.84,163.91
2025-04-04,184.1,99.54,208.46,237.61,244.34,160.38
2025-04-05,181.46,100.36,211.79,233.69,244.72,164.19
2025-04-06,181.38,99.32,212.24,235.99,249.11,166.1
2025-04-07,177.19,99.64,213.82,238.34,245.77,167.4
2025-04-08,178.26,98.56,220.72,235.58,246.77,165.58
2025-04-09,175.37,97.71,216.94,238.87,250.5,167.97
2025-04-10,174.73,95.7,213.04,236.72,252.51,170.94
2025-04-11,173.84,94.42,215.37,237.74,253.35,169.22
2025-04-12,174.66,92.55,221.76,240.78,257.28,167.6
2025-04-13,173.3,91.24,221.01,240.78,246.98,165.08
2025-04-14,171.84,92.73,226.84,242.55,249.62,166.52
2025-04-15,175.62,91.46,227.28,240.79,247.29,166.36
2025-04-16,176.46,95.11,225.08,240.2,240.62,171.74
2025-04-17,175.06,95.87,221.84,239.58,242.59,167.87
2025-04-18,174.49,96.18,224.05,237.01,247.71,165.76
2025-04-19,178.89,94.99,221.09,236.5,247.32,165.88
2025-04-20,178.34,96.03,221.47,231.13,250.98,167.62
2025-04-21,176.59,95.25,226.84,229.54,257.18,169.26
2025-04-22,174.86,95.47,225.91,228.68,262.38,169.56
2025-04-23,173.51,99.19,230.47,227.91,268.96,170.54
2025-04-24,172.05,99.1,226.39,227.2,272.09,170.93
2025-04-25,168.83,100.85,224.69,227.1,272.54,173.7
2025-04-26,166.07,99.84,220.06,228.85,266.12,172.34
2025-04-27,164.09,99.84,220.41,231.97,265.27,171.28
2025-04-28,165.63,102.54,223.1,229.82,262.05,173.14
2025-04-29,164.76,101.63,223.46,225.79,270.72,177.31
2025-04-30,164.33,104.44,227.69,222.37,270.14,175.71
2025-05-01,167.55,105.6,225.24,220.86,270.77,176.43
2025-05-02,170.88,104.76,226.12,219.8,273.15,175.52
2025-05-03,170.25,105.81,224.44,217.37,273.46,177.07
2025-05-04,168.72,107.41,225.77,213.26,280.55,172.8
2025-05-05,166.62,108.46,227.59,211.9,278.07,171.99
2025-05-06,168.43,105.96,229.69,212.59,279.02,170.59
2025-05-07,168.0,104.86,226.12,214.59,276.05,169.8
2025-05-08,167.11,104.52,223.21,212.9,270.73,163.42
2025-05-09,165.15,104.46,220.97,211.69,268.38,168.46
2025-05-10,163.33,105.48,220.28,208.85,268.36,162.24
2025-05-11,164.19,105.82,220.68,208.86,266.77,163.48
2025-05-12,161.04,103.75,223.14,206.31,264.13,160.39
2025-05-13,163.52,104.39,220.41,208.18,258.69,157.48
2025-05-14,162.29,105.4,215.23,202.71,258.5,157.88
2025-05-15,162.01,106.34,222.29,201.72,252.79,159.6
2025-05-16,158.84,108.12,218.63,202.73,255.8,157.11
2025-05-17,158.89,109.52,221.48,203.39,256.25,154.57
2025-05-18,158.19,110.33,221.7,211.71,250.77,151.65
2025-05-19,158.15,110.27,222.65,212.93,249.73,152.21
2025-05-20,161.72,107.58,222.75,209.82,247.04,149.9
2025-05-21,162.23,108.32,221.58,209.63,248.35,152.87
2025-05-22,160.38,108.72,223.23,204.15,253.46,150.3
2025-05-23,158.75,109.21,221.87,204.0,246.46,151.6
2025-05-24,160.24,107.18,225.87,201.56,247.01,155.19
2025-05-25,163.45,105.49,227.9,204.43,246.54,155.42
2025-05-26,164.22,107.21,230.07,202.84,249.15,151.33
2025-05-27,166.0,107.2,228.43,202.59,250.07,152.31
2025-05-28,167.6,108.35,227.74,200.76,247.37,151.82
2025-05-29,171.25,108.45,223.79,206.1,246.31,151.8
2025-05-30,166.33,108.55,222.72,205.21,243.49,155.49
2025-05-31,168.07,110.14,219.37,210.95,247.55,155.69
2025-06-01,170.64,109.34,223.8,213.63,247.75,156.97
2025-06-02,167.3,109.55,224.08,215.28,254.94,155.49
2025-06-03,165.16,108.85,224.77,216.58,254.83,154.91
2025-06-04,163.13,108.19,224.12,217.97,252.25,157.6
2025-06-05,161.43,107.74,224.9,211.77,246.65,158.0
2025-06-06,160.35,108.16,233.32,210.99,240.1,158.75
2025-06-07,161.01,107.43,232.39,213.77,234.52,161.22
2025-06-08,163.18,109.51,230.24,213.72,235.58,165.24
2025-06-09,165.91,108.1,232.18,209.33,237.49,162.46
2025-06-10,163.91,107.85,223.5,209.27,231.98,161.34
2025-06-11,161.91,107.19,223.83,214.72,235.21,164.95
2025-06-12,165.19,109.57,222.69,218.84,233.62,169.96
2025-06-13,166.87,109.95,219.49,218.75,234.25,169.38
2025-06-14,167.17,111.7,221.27,221.98,240.03,170.15
2025-06-15,168.44,109.27,221.56,220.87,243.38,171.14
2025-06-16,168.44,109.76,215.68,215.34,242.52,171.82
2025-06-17,169.85,111.28,213.7,212.46,239.4,172.55
2025-06-18,169.08,111.48,204.55,217.55,231.8,176.17
2025-06-19,169.85,113.31,205.55,216.76,229.41,171.5
2025-06-20,166.09,112.49,206.52,216.08,228.8,169.9
2025-06-21,164.46,114.93,204.17,215.21,225.53,171.61
2025-06-22,162.87,118.95,205.93,221.47,225.19,170.42
2025-06-23,162.03,118.36,202.07,226.98,225.57,171.23
2025-06-24,159.86,117.63,199.24,234.65,224.92,174.11
2025-06-25,158.66,120.25,200.59,234.21,222.84,178.38
2025-06-26,155.14,123.16,198.61,235.36,223.51,179.21
2025-06-27,156.49,122.25,198.53,230.12,225.11,183.3
2025-06-28,156.38,121.54,196.95,235.34,221.54,183.78
2025-06-29,152.46,121.09,195.83,231.33,226.34,183.04
2025-06-30,150.62,118.71,194.85,232.2,226.12,178.89
2025-07-01,151.46,117.13,192.88,228.5,226.29,176.29
2025-07-02,150.3,115.43,193.85,226.59,228.81,176.39
2025-07-03,148.81,114.16,192.12,223.86,229.72,176.55
2025-07-04,148.71,114.15,192.27,221.93,233.12,177.24
2025-07-05,149.55,114.61,190.26,220.25,234.24,182.21
2025-07-06,146.41,117.34,185.98,218.54,232.21,184.36
2025-07-07,147.69,115.64,188.62,221.39,233.58,186.68
2025-07-08,145.99,117.4,190.12,217.83,229.69,191.89
2025-07-09,146.02,117.08,196.74,218.66,230.18,190.96
2025-07-10,146.02,117.06,193.76,222.76,230.18,189.6
2025-07-11,144.94,118.3,193.25,221.16,229.58,193.17
2025-07-12,142.78,116.37,192.98,218.89,229.25,194.67
2025-07-13,142.24,117.09,195.94,218.24,222.9,194.64
2025-07-14,145.78,117.44,194.54,222.21,221.17,194.56
2025-07-15,142.88,118.37,191.22,222.97,221.59,194.15
2025-07-16,146.58,118.94,194.78,221.3,222.23,193.96
2025-07-17,146.08,123.38,193.96,223.02,218.92,194.05
2025-07-18,146.23,122.26,196.61,219.44,223.18,193.28
2025-07-19,143.92,121.35,198.96,221.8,220.4,194.98
2025-07-20,142.32,120.28,198.97,223.27,223.71,197.27
2025-07-21,141.32,119.33,198.55,222.35,225.26,195.69
2025-07-22,139.18,118.25,197.48,219.66,223.19,198.44
2025-07-23,138.81,120.42,197.53,216.85,229.24,194.76
2025-07-24,138.03,123.05,200.19,218.7,225.25,196.32
2025-07-25,141.93,122.06,197.9,222.84,228.47,198.05
2025-07-26,139.52,120.59,198.32,220.82,232.01,197.9
2025-07-27,139.81,121.51,195.09,222.45,229.79,198.17
2025-07-28,140.4,120.56,192.28,215.6,234.71,197.58
2025-07-29,138.21,121.76,192.29,213.81,233.95,196.17
2025-07-30,139.7,122.2,186.73,213.82,235.08,196.27
2025-07-31,138.94,119.48,192.59,211.01,236.11,194.76
2025-08-01,133.82,122.31,189.24,208.15,235.75,198.19
2025-08-02,135.21,125.67,189.22,206.17,238.74,192.04
2025-08-03,133.01,124.58,192.63,207.18,241.7,191.74
2025-08-04,130.98,123.91,190.24,206.7,235.48,186.37
2025-08-05,132.4,124.51,183.76,199.86,240.21,183.49
2025-08-06,131.78,125.19,182.63,193.6,234.34,182.0
2025-08-07,133.66,126.49,180.32,191.94,238.08,185.75
2025-08-08,136.15,130.37,174.25,193.35,242.23,189.05
2025-08-09,134.9,130.09,175.09,185.48,238.38,189.35
2025-08-10,136.58,128.6,175.72,184.18,237.03,189.63
2025-08-11,135.1,126.0,178.82,182.82,233.22,192.67
2025-08-12,139.69,124.68,175.9,186.72,232.59,196.04
2025-08-13,138.31,124.68,171.77,185.74,231.63,194.45
2025-08-14,140.5,128.1,170.81,186.89,234.45,196.51
2025-08-15,142.35,127.17,170.66,187.38,239.18,193.79
2025-08-16,143.1,127.66,173.11,181.49,244.3,192.75
2025-08-17,141.73,127.69,176.86,183.67,242.37,194.57
2025-08-18,141.48,130.03,180.17,184.36,241.73,192.74
2025-08-19,136.98,135.03,181.01,185.85,235.74,191.81
2025-08-20,137.51,134.02,183.27,196.89,233.01,187.14
2025-08-21,138.3,133.1,181.6,190.84,236.5,188.5
2025-08-22,138.65,135.25,182.15,195.87,242.35,186.1
2025-08-23,132.53,136.7,178.98,195.12,237.98,183.9
2025-08-24,130.08,140.56,179.24,196.06,235.99,187.73
2025-08-25,128.69,141.86,179.57,196.03,236.01,185.89
2025-08-26,129.32,141.17,184.3,194.88,237.12,188.08
2025-08-27,129.94,142.49,183.76,193.31,234.36,191.27
2025-08-28,129.67,144.93,184.1,194.36,235.97,194.0
2025-08-29,130.97,146.79,184.84,190.03,234.41,193.37
2025-08-30,129.02,147.98,183.67,192.27,234.48,192.23
2025-08-31,130.27,150.42,181.56,191.16,236.52,189.69
2025-09-01,131.26,153.13,185.18,188.02,236.66,184.77
2025-09-02,132.07,156.38,182.55,186.84,235.23,187.01
2025-09-03,131.78,157.98,179.01,190.46,234.96,189.0
2025-09-04,135.46,157.67,180.92,189.03,234.76,190.45
2025-09-05,136.53,158.09,184.16,190.14,233.58,182.43
2025-09-06,134.62,161.03,183.0,188.15,232.79,182.04
2025-09-07,135.19,159.14,181.89,190.38,238.49,183.85
2025-09-08,136.78,160.1,182.76,192.43,240.61,187.49
2025-09-09,135.64,159.23,180.91,197.87,239.66,188.42
2025-09-10,137.92,159.38,178.88,197.44,242.29,189.07
2025-09-11,138.78,162.52,181.33,199.52,241.2,187.24
2025-09-12,133.98,163.07,183.07,199.92,245.56,188.39
2025-09-13,134.65,163.26,186.76,203.9,247.05,187.82
2025-09-14,133.89,160.01,183.34,201.81,246.77,185.86
2025-09-15,135.04,161.88,182.05,204.16,248.55,182.72
2025-09-16,137.02,163.53,182.91,203.67,242.82,180.22
2025-09-17,137.49,168.92,180.47,203.57,238.84,181.19
2025-09-18,140.99,168.22,182.29,203.95,234.68,177.51
2025-09-19,140.68,168.86,185.73,204.83,235.3,176.81
2025-09-20,142.07,169.58,184.2,204.57,241.53,180.37
2025-09-21,143.86,173.68,184.4,205.34,249.74,176.58
2025-09-22,143.72,173.51,188.52,210.3,252.25,177.86
2025-09-23,145.47,174.33,193.7,213.51,254.28,179.41
2025-09-24,144.25,176.0,195.96,216.4,247.53,178.71
2025-09-25,143.41,176.58,197.81,215.03,245.64,180.47
2025-09-26,140.65,175.49,195.37,212.27,242.86,180.05
2025-09-27,141.23,176.09,196.52,215.42,240.72,182.29
2025-09-28,141.99,179.01,198.26,218.36,240.23,179.46
2025-09-29,144.58,176.35,197.73,223.29,238.65,184.64
2025-09-30,146.36,176.79,196.07,221.38,231.69,188.71
2025-10-01,145.81,175.02,192.4,220.73,234.4,182.49
2025-10-02,143.31,178.24,187.48,215.41,230.75,185.79
2025-10-03,144.31,174.26,182.1,214.25,231.69,184.28
2025-10-04,146.79,172.88,183.77,217.56,239.02,188.33
2025-10-05,148.52,173.95,184.27,216.15,235.84,191.27
2025-10-06,151.01,178.12,183.02,218.33,227.01,188.25
2025-10-07,150.61,178.03,182.21,217.82,226.15,189.97
2025-10-08,149.63,176.64,182.87,218.98,229.99,188.07
2025-10-09,148.05,181.71,182.51,215.32,236.86,189.68
2025-10-10,148.0,177.86,178.93,215.71,232.61,189.9
2025-10-11,147.9,172.08,181.47,206.14,234.46,187.92
2025-10-12,148.43,173.3,182.39,205.66,232.94,184.25
2025-10-13,148.22,172.08,183.21,200.73,232.69,184.97
2025-10-14,148.0,169.53,185.6,204.47,242.04,186.35
2025-10-15,146.35,171.42,183.43,206.95,236.7,186.01
2025-10-16,148.49,172.13,186.86,208.5,237.72,183.94
2025-10-17,148.73,170.76,186.56,213.37,239.51,182.7
2025-10-18,148.42,167.57,189.14,210.43,243.53,179.79
2025-10-19,146.83,169.84,191.32,216.06,244.01,181.86
2025-10-20,143.97,171.59,188.44,219.18,245.26,176.06
2025-10-21,146.86,171.42,189.95,218.52,243.94,178.66
2025-10-22,148.16,176.25,190.98,222.35,245.04,178.55
2025-10-23,144.62,173.51,191.16,218.77,243.91,180.03
2025-10-24,146.35,169.63,190.98,216.17,246.3,181.8
2025-10-25,148.45,167.95,190.83,214.31,245.06,182.21
2025-10-26,148.8,167.92,193.25,212.71,246.57,181.23
2025-10-27,152.44,168.62,195.03,209.45,246.58,184.33
2025-10-28,153.01,168.09,195.21,213.4,250.87,179.68
2025-10-29,149.84,169.06,190.94,212.68,250.8,183.28
2025-10-30,150.73,165.97,192.45,213.91,244.26,180.28
