date,XLE,ICLN,ENPH,NEE,FSLR,TSLA,PLUG
2024-11-27,112.25,140.66,169.22,168.45,164.74,155.3,148.26
2024-11-28,111.23,140.28,173.67,167.39,166.99,154.72,148.26
2024-11-29,113.06,143.59,174.64,173.28,169.55,155.02,152.92
2024-11-30,111.93,145.8,178.26,171.54,170.77,155.46,154.89
2024-12-01,112.68,147.85,180.03,173.53,166.24,155.44,156.25
2024-12-02,111.46,146.82,182.65,175.08,165.48,155.67,154.73
2024-12-03,110.77,148.09,185.76,176.19,171.28,149.41,152.15
2024-12-04,109.88,147.64,187.21,177.03,172.32,150.06,151.63
2024-12-05,110.98,147.28,190.33,178.12,173.36,151.23,148.3
2024-12-06,111.37,148.26,188.43,178.93,174.38,154.34,147.65
2024-12-07,111.6,147.0,181.66,178.88,175.56,155.27,149.5
2024-12-08,115.85,150.37,183.53,183.03,169.37,155.04,151.78
2024-12-09,118.93,150.08,184.65,179.51,168.84,157.69,151.08
2024-12-10,115.45,151.55,182.32,182.35,168.83,152.19,157.81
2024-12-11,114.74,154.94,178.96,184.69,172.16,151.09,160.9
2024-12-12,118.98,157.41,179.4,186.72,172.37,149.43,160.91
2024-12-13,118.01,154.16,181.42,189.94,168.2,149.43,163.74
2024-12-14,121.77,155.27,182.92,189.77,169.37,144.58,162.4
2024-12-15,121.05,157.33,180.22,184.55,167.41,147.51,163.1
2024-12-16,120.68,159.51,178.16,184.44,164.44,147.03,162.3
2024-12-17,122.31,156.93,180.03,181.79,162.47,147.81,159.43
2024-12-18,122.2,155.46,180.32,179.89,163.87,148.38,160.78
2024-12-19,123.17,157.86,183.28,176.62,167.05,151.26,160.85
2024-12-20,126.14,156.13,182.48,175.45,168.34,147.11,161.1
2024-12-21,127.64,155.51,184.6,173.97,170.02,147.43,161.11
2024-12-22,127.98,159.26,184.58,167.85,171.31,150.04,159.02
2024-12-23,131.25,159.23,182.67,169.7,171.66,149.9,162.89
2024-12-24,133.04,157.57,185.3,175.43,173.54,147.83,163.58
2024-12-25,131.65,155.57,182.64,177.11,167.33,146.57,163.0
2024-12-26,135.62,156.43,182.93,176.66,167.69,145.78,159.89
2024-12-27,137.0,153.38,183.51,176.61,165.15,144.27,163.33
2024-12-28,136.63,152.89,183.27,175.58,168.11,144.01,165.66
2024-12-29,132.55,153.73,186.09,175.91,167.82,147.34,165.75
2024-12-30,129.88,156.8,187.78,175.9,167.98,146.1,162.64
2024-12-31,133.26,158.45,189.15,173.76,164.27,145.1,166.76
2025-01-01,136.8,156.83,189.44,178.24,166.86,146.17,165.94
2025-01-02,137.05,159.68,194.81,174.35,168.52,145.86,164.35
2025-01-03,133.48,159.04,199.18,176.32,170.01,143.03,164.31
2025-01-04,131.37,156.18,202.03,176.14,168.02,142.97,165.32
2025-01-05,128.23,155.85,204.42,181.25,166.15,142.83,164.98
2025-01-06,125.1,159.29,202.68,182.26,166.79,144.99,156.68
2025-01-07,128.97,159.76,202.63,181.37,165.14,142.95,157.34
2025-01-08,133.02,159.87,204.66,180.79,166.3,145.13,159.6
2025-01-09,130.85,163.88,207.99,180.99,160.99,144.99,157.55
2025-01-10,130.9,160.44,210.88,177.98,159.9,142.65,161.31
2025-01-11,128.44,157.43,212.82,176.02,164.29,139.92,163.51
2025-01-12,128.47,153.69,219.32,171.39,165.45,144.05,164.74
2025-01-13,131.7,154.63,218.98,169.11,165.95,143.78,162.32
2025-01-14,133.89,155.09,222.42,169.43,170.97,145.87,163.08
2025-01-15,135.59,158.76,225.5,170.28,165.07,142.2,164.03
2025-01-16,135.26,159.42,227.12,165.31,163.13,147.9,163.91
2025-01-17,137.89,158.53,228.87,165.05,162.23,149.96,166.18
2025-01-18,139.29,158.62,230.56,166.52,164.4,149.46,165.37
2025-01-19,140.21,158.97,228.23,166.2,166.64,148.84,164.78
2025-01-20,140.03,155.07,229.72,164.7,164.56,150.56,163.21
2025-01-21,140.77,161.45,232.41,163.77,167.11,152.16,162.19
2025-01-22,141.45,162.79,233.65,162.52,166.18,152.66,161.9
2025-01-23,140.37,163.38,227.31,161.05,169.28,152.76,161.53
2025-01-24,138.81,164.97,222.01,161.55,166.74,154.12,161.05
2025-01-25,136.81,166.81,219.4,167.22,166.52,150.17,163.37
2025-01-26,134.96,166.54,219.14,165.44,165.38,149.41,167.13
2025-01-27,134.65,165.05,216.74,164.74,168.08,145.79,164.0
2025-01-28,134.0,166.62,218.95,164.69,166.85,147.19,167.72
2025-01-29,132.82,167.66,222.97,163.07,166.82,145.77,169.5
2025-01-30,131.5,165.71,227.54,165.84,168.18,142.41,167.32
2025-01-31,132.14,169.32,228.8,160.03,169.64,140.78,166.57
2025-02-01,134.94,170.15,232.64,158.83,171.98,141.17,167.37
2025-02-02,134.99,172.1,230.79,160.86,172.61,140.8,163.3
2025-02-03,134.9,175.78,230.38,160.23,171.61,138.4,163.16
2025-02-04,133.08,175.92,226.47,158.34,170.8,134.93,164.53
2025-02-05,132.7,176.85,230.68,159.47,170.95,135.14,162.78
2025-02-06,135.13,179.08,237.6,161.71,171.67,134.03,159.25
2025-02-07,137.3,177.23,236.47,162.31,171.38,133.58,159.8
2025-02-08,139.36,177.46,228.89,160.44,171.52,133.33,165.17
2025-02-09,141.39,177.88,225.73,161.61,167.7,134.26,163.49
2025-02-10,142.39,175.42,223.64,160.72,169.46,136.03,161.89
2025-02-11,143.32,181.61,219.3,162.6,170.01,136.39,161.48
2025-02-12,143.91,177.86,216.02,166.3,172.64,135.81,165.36
2025-02-13,143.09,174.49,216.79,159.88,172.73,135.93,161.35
2025-02-14,143.34,178.02,219.05,160.23,168.31,135.3,163.29
2025-02-15,143.87,180.01,212.37,156.13,167.49,132.04,162.22
2025-02-16,145.31,177.33,210.79,161.93,167.07,134.26,161.36
2025-02-17,145.6,179.03,211.01,160.88,169.02,136.15,159.0
2025-02-18,150.27,183.06,207.74,162.76,163.86,140.28,158.48
2025-02-19,147.62,183.07,208.58,162.75,164.04,145.15,156.23
2025-02-20,149.36,190.3,208.31,160.87,165.38,142.66,155.04
2025-02-21,149.35,185.47,207.02,158.73,163.83,142.01,149.38
2025-02-22,149.43,187.5,204.44,162.58,164.09,147.44,145.57
2025-02-23,147.68,190.87,205.38,165.0,162.63,147.42,146.38
2025-02-24,150.01,193.52,203.13,169.89,160.93,148.03,149.22
2025-02-25,151.56,193.02,197.95,170.11,160.03,144.73,156.53
2025-02-26,153.53,192.28,198.11,170.93,158.4,145.13,158.78
2025-02-27,153.99,193.66,194.53,170.33,160.1,149.41,157.63
2025-02-28,153.32,196.12,189.82,169.69,158.42,152.37,153.02
2025-03-01,153.24,197.99,190.29,167.12,156.35,151.05,154.33
2025-03-02,154.32,201.18,189.92,167.41,160.58,150.22,151.05
2025-03-03,149.75,198.21,187.54,165.51,162.97,147.75,149.3
2025-03-04,151.79,197.63,188.28,166.69,158.5,145.94,151.35
2025-03-05,157.39,194.94,189.57,167.2,156.76,141.83,152.1
2025-03-06,158.6,193.91,190.35,168.01,157.41,141.72,150.06
2025-03-07,158.01,196.96,191.03,172.31,158.26,145.0,146.29
2025-03-08,157.71,197.38,186.52,172.3,154.8,145.85,146.83
2025-03-09,159.46,205.19,190.23,174.34,157.56,148.91,147.64
2025-03-10,158.92,205.89,191.92,179.8,159.59,151.38,151.05
2025-03-11,161.07,206.18,189.28,183.41,160.83,150.22,145.47
2025-03-12,160.73,206.61,189.34,186.67,164.18,148.58,145.81
2025-03-13,164.95,204.74,189.94,185.91,165.38,147.05,147.88
2025-03-14,169.2,204.66,189.92,186.64,166.57,143.33,147.02
2025-03-15,168.45,208.23,195.13,183.05,170.55,143.47,143.58
2025-03-16,168.33,208.69,189.53,184.51,173.45,137.29,141.66
2025-03-17,168.35,206.31,185.43,185.36,171.35,138.58,141.81
2025-03-18,168.42,203.55,179.13,185.52,173.06,138.8,140.84
2025-03-19,166.11,202.27,179.43,188.47,171.42,139.85,141.55
2025-03-20,163.48,202.6,180.99,185.15,172.8,142.14,144.34
2025-03-21,166.63,206.33,182.06,189.78,174.13,142.63,143.55
2025-03-22,169.43,202.28,181.36,192.44,170.6,146.19,146.25
2025-03-23,172.24,201.41,182.56,192.33,170.37,147.63,146.07
2025-03-24,172.15,201.95,181.83,192.0,171.14,146.03,146.88
2025-03-25,177.12,196.5,183.95,193.48,170.1,145.58,146.7
2025-03-26,177.15,194.14,187.09,197.99,170.99,140.72,147.57
2025-03-27,179.53,192.25,184.57,198.39,173.14,138.88,148.84
2025-03-28,175.88,190.05,183.87,198.92,173.15,138.16,150.35
2025-03-29,175.37,190.7,183.61,199.07,173.82,139.36,150.43
2025-03-30,175.04,190.33,187.63,204.5,177.51,137.86,142.99
2025-03-31,174.96,188.84,185.44,203.47,178.86,135.35,144.34
2025-04-01,171.57,190.15,188.58,203.48,179.49,131.59,140.15
2025-04-02,173.47,195.16,184.53,208.05,177.0,130.48,138.94
2025-04-03,176.23,200.06,188.06,208.61,178.87,134.36,134.03
2025-04-04,174.35,194.39,190.56,212.27,179.84,134.97,137.51
2025-04-05,171.44,196.17,190.21,209.48,183.4,136.94,138.44
2025-04-06,169.55,195.74,192.92,208.94,183.62,135.16,137.83
2025-04-07,170.89,196.29,191.57,213.69,178.71,132.04,140.83
2025-04-08,169.45,195.22,189.01,211.63,174.24,129.69,142.03
2025-04-09,169.19,195.66,193.95,211.26,176.25,129.56,142.36
2025-04-10,166.55,196.2,192.47,212.18,174.83,125.75,143.28
2025-04-11,171.58,194.6,194.52,209.13,176.06,123.92,142.53
2025-04-12,171.85,192.08,197.85,207.94,176.45,122.89,139.95
2025-04-13,174.9,190.88,200.34,208.4,176.1,120.52,142.04
2025-04-14,176.28,191.65,202.25,208.65,175.93,116.74,141.96
2025-04-15,176.26,193.47,204.41,212.76,173.74,117.3,138.28
2025-04-16,176.1,196.04,207.75,217.78,173.78,117.44,139.4
2025-04-17,174.27,194.68,208.85,215.09,172.35,118.87,139.56
2025-04-18,173.18,195.61,208.83,215.56,171.47,116.95,143.19
2025-04-19,170.65,198.53,204.64,217.85,170.72,118.34,143.83
2025-04-20,167.88,202.1,205.72,222.91,170.23,121.12,141.36
2025-04-21,173.22,202.02,209.0,225.43,172.67,121.65,137.63
2025-04-22,174.03,201.46,205.65,226.52,172.42,120.6,140.31
2025-04-23,177.94,202.13,205.05,228.9,175.15,120.92,140.25
2025-04-24,175.91,198.75,206.46,231.33,179.28,119.79,138.5
2025-04-25,172.7,198.27,211.25,228.23,181.67,118.37,137.07
2025-04-26,170.25,200.58,207.68,229.0,183.22,119.64,139.81
2025-04-27,169.26,202.62,210.26,234.13,184.21,119.45,140.87
2025-04-28,169.43,201.9,209.23,233.52,186.69,121.67,143.26
2025-04-29,169.13,202.66,207.22,234.09,187.03,120.93,143.86
2025-04-30,167.26,200.25,204.47,233.35,189.89,120.37,142.12
2025-05-01,167.56,202.46,202.57,225.37,191.73,119.41,146.0
2025-05-02,168.09,202.33,204.18,225.55,190.79,117.46,145.22
2025-05-03,169.94,201.59,203.59,226.69,193.45,118.95,147.04
2025-05-04,173.77,200.6,205.87,225.06,193.81,122.91,149.51
2025-05-05,172.91,200.51,202.51,221.27,193.6,122.27,149.6
2025-05-06,176.15,199.26,204.73,218.46,192.32,121.08,147.17
2025-05-07,176.41,201.33,206.16,221.07,192.89,119.79,145.75
2025-05-08,172.46,200.24,201.6,227.72,195.87,118.63,147.3
2025-05-09,177.16,205.12,206.26,232.56,198.58,121.62,148.56
2025-05-10,183.29,209.73,207.41,227.99,199.73,120.37,151.53
2025-05-11,185.08,207.03,209.9,231.02,201.63,119.38,154.19
2025-05-12,185.42,207.35,213.64,228.84,205.58,117.21,152.07
2025-05-13,184.76,205.43,216.85,226.96,205.22,117.79,155.44
2025-05-14,183.57,204.53,216.55,225.5,201.89,117.73,153.12
2025-05-15,186.99,210.78,219.02,228.0,205.93,115.78,154.56
2025-05-16,187.04,209.91,213.18,231.39,204.39,114.29,160.26
2025-05-17,191.83,211.15,214.55,231.17,202.38,116.97,161.09
2025-05-18,192.02,212.97,220.23,231.0,197.03,117.09,156.87
2025-05-19,190.93,209.88,218.04,232.73,198.81,117.32,156.18
2025-05-20,189.31,207.29,221.14,234.83,194.08,117.57,161.35
2025-05-21,187.29,203.64,227.14,239.09,191.99,120.09,160.93
2025-05-22,188.83,201.04,229.6,234.6,193.78,118.27,164.22
2025-05-23,185.25,192.55,233.24,234.79,195.98,117.62,161.94
2025-05-24,183.07,194.21,227.87,231.14,194.16,117.38,161.16
2025-05-25,186.8,200.3,224.79,231.08,193.87,114.41,160.72
2025-05-26,184.22,200.84,229.72,230.41,191.42,112.89,165.5
2025-05-27,186.7,196.67,233.14,230.37,189.95,114.72,164.83
2025-05-28,181.01,194.88,235.0,227.72,190.8,116.09,160.25
2025-05-29,185.04,193.63,234.18,222.75,189.46,117.78,166.05
2025-05-30,181.61,190.77,235.3,215.87,188.86,116.8,166.7
2025-05-31,179.31,193.33,241.55,215.55,184.8,116.04,168.42
2025-06-01,181.23,195.78,241.3,214.26,188.04,112.99,164.45
2025-06-02,182.06,192.48,243.95,212.2,189.57,114.62,165.17
2025-06-03,184.59,194.67,246.54,216.51,191.92,116.56,165.3
2025-06-04,181.14,199.23,244.2,213.83,195.73,118.52,162.98
2025-06-05,180.45,205.01,242.16,218.48,193.41,121.43,164.7
2025-06-06,178.87,213.93,247.83,223.91,192.46,122.26,160.56
2025-06-07,175.99,211.14,250.08,217.47,187.09,125.17,158.3
2025-06-08,177.65,220.19,247.65,217.88,196.0,124.86,161.26
2025-06-09,180.25,219.13,246.62,216.69,195.65,121.61,159.58
2025-06-10,179.43,217.29,243.09,207.33,198.8,123.24,158.48
2025-06-11,183.62,218.47,247.1,202.94,195.21,119.97,158.77
2025-06-12,181.54,216.67,246.29,205.4,198.22,120.34,157.97
2025-06-13,185.71,218.07,245.54,211.72,203.84,122.12,159.68
2025-06-14,187.37,213.86,248.76,214.7,203.76,122.78,160.18
2025-06-15,184.03,213.2,242.61,215.85,200.77,127.03,156.64
2025-06-16,189.59,217.42,242.6,215.89,200.46,123.35,155.0
2025-06-17,188.42,217.35,242.68,221.44,193.86,123.26,153.11
2025-06-18,191.92,217.92,241.76,228.69,193.85,123.35,152.13
2025-06-19,192.44,219.58,239.89,226.79,196.33,120.93,152.46
2025-06-20,193.61,223.54,237.46,220.1,196.33,118.9,153.23
2025-06-21,196.33,218.11,238.58,213.28,195.59,117.45,147.87
2025-06-22,198.92,220.13,235.09,217.62,197.23,115.57,150.22
2025-06-23,198.0,219.35,235.77,217.57,199.12,115.44,150.09
2025-06-24,199.67,220.01,233.94,218.28,194.26,114.45,147.64
2025-06-25,201.14,223.62,232.35,212.53,194.62,115.06,149.82
2025-06-26,201.89,219.72,233.15,210.23,201.82,116.24,145.16
2025-06-27,201.37,216.5,231.52,209.41,197.88,117.31,141.81
2025-06-28,202.11,210.32,236.04,210.16,197.73,116.65,146.41
2025-06-29,208.18,208.69,235.66,209.01,203.59,117.2,146.8
2025-06-30,207.36,212.96,239.48,205.86,207.06,119.08,145.25
2025-07-01,211.22,212.68,236.86,203.54,205.57,119.93,145.56
2025-07-02,209.36,208.51,234.2,207.33,206.31,123.34,145.24
2025-07-03,206.7,207.1,228.47,208.2,206.4,125.22,145.39
2025-07-04,216.96,202.58,226.9,210.22,204.19,128.51,146.53
2025-07-05,218.82,199.26,226.22,207.49,204.07,123.77,146.16
2025-07-06,220.8,200.52,226.59,198.4,203.31,124.01,147.01
2025-07-07,222.88,197.09,229.08,196.94,203.76,123.47,146.74
2025-07-08,227.69,200.48,231.34,194.48,201.57,123.3,145.01
2025-07-09,229.2,200.37,235.4,195.59,197.81,121.87,142.67
2025-07-10,232.12,200.72,232.38,205.33,197.79,122.66,145.57
2025-07-11,228.55,199.99,232.6,207.57,202.98,119.39,147.05
2025-07-12,232.04,202.41,229.23,216.2,203.33,120.17,149.41
2025-07-13,231.33,204.88,230.77,218.15,202.42,118.84,149.5
2025-07-14,233.78,206.02,237.13,216.2,204.81,118.01,150.08
2025-07-15,227.88,207.86,232.99,217.43,204.43,118.85,149.75
2025-07-16,230.15,207.31,235.51,223.35,210.26,119.05,152.43
2025-07-17,222.52,209.1,239.34,229.59,210.35,120.99,151.71
2025-07-18,221.71,208.14,236.25,227.73,212.66,119.29,149.55
2025-07-19,216.15,208.25,237.91,228.7,210.36,119.2,150.8
2025-07-20,218.31,207.5,236.75,223.92,212.06,120.85,150.53
2025-07-21,218.65,206.18,236.44,226.8,213.04,121.57,151.17
2025-07-22,216.23,204.15,235.16,232.19,212.96,122.4,152.85
2025-07-23,220.99,205.69,234.49,232.45,211.47,124.5,151.6
2025-07-24,218.13,209.83,238.67,230.24,209.55,123.8,151.18
2025-07-25,208.32,213.62,238.5,231.6,210.54,122.72,150.55
2025-07-26,210.03,209.7,236.47,233.16,212.63,123.84,153.53
2025-07-27,204.57,213.86,236.83,233.56,212.33,123.63,153.64
2025-07-28,202.02,212.95,229.41,234.31,213.35,125.77,154.08
2025-07-29,200.55,214.98,226.72,233.81,213.34,126.53,151.48
2025-07-30,196.37,212.16,231.08,237.42,213.76,125.41,153.22
2025-07-31,195.01,212.72,230.69,240.16,213.23,126.11,154.28
2025-08-01,191.0,213.83,229.15,236.74,213.39,124.46,152.43
2025-08-02,191.56,209.17,229.86,233.27,222.13,126.29,156.9
2025-08-03,188.12,211.18,232.51,232.5,223.28,123.71,157.77
2025-08-04,188.3,215.55,237.26,235.18,225.55,126.04,156.37
2025-08-05,191.68,215.1,235.78,235.82,227.15,126.71,156.45
2025-08-06,194.02,219.59,234.38,233.67,226.37,126.46,155.66
2025-08-07,193.88,219.08,233.71,234.7,230.87,127.97,159.34
2025-08-08,191.1,221.98,237.44,233.65,229.98,129.02,161.65
2025-08-09,191.66,214.7,237.76,236.86,233.74,131.66,162.83
2025-08-10,189.75,222.6,245.6,238.16,232.68,134.33,167.11
2025-08-11,190.42,227.7,245.13,237.15,229.45,135.11,164.59
2025-08-12,185.62,226.85,251.74,238.09,230.82,133.41,166.59
2025-08-13,187.96,220.25,248.49,242.91,227.11,132.39,168.04
2025-08-14,188.14,221.31,243.44,240.95,229.05,132.32,167.54
2025-08-15,194.47,216.63,243.19,242.53,225.06,134.53,167.06
2025-08-16,198.38,218.18,247.47,242.4,224.1,133.67,169.45
2025-08-17,200.16,219.64,245.82,244.07,219.39,132.99,171.7
2025-08-18,199.89,216.65,243.67,241.79,228.8,136.75,168.12
2025-08-19,197.8,220.4,247.54,242.32,223.24,136.6,172.79
2025-08-20,200.7,223.17,250.28,246.46,223.38,135.37,175.83
2025-08-21,200.11,226.55,247.43,243.12,227.32,137.01,175.18
2025-08-22,203.71,226.69,244.39,238.4,230.97,136.97,173.19
2025-08-23,205.04,221.99,247.56,233.9,234.04,134.18,176.16
2025-08-24,206.4,225.36,241.62,229.91,233.04,136.34,177.56
2025-08-25,208.34,224.56,245.65,232.07,237.88,134.88,179.56
2025-08-26,205.57,219.99,248.33,227.3,241.26,135.04,181.18
2025-08-27,202.52,224.56,239.95,226.39,242.15,134.97,184.57
2025-08-28,199.41,231.74,240.13,228.61,243.14,135.5,187.04
2025-08-29,202.65,231.72,233.12,230.15,242.15,131.12,185.63
2025-08-30,199.87,239.34,229.03,228.93,238.97,130.52,184.08
2025-08-31,197.51,239.79,227.41,229.7,243.53,132.79,185.15
2025-09-01,199.2,238.54,223.2,230.19,248.44,135.38,191.6
2025-09-02,198.55,236.4,230.74,229.53,245.27,133.43,191.27
2025-09-03,197.52,242.32,233.85,228.92,244.83,135.34,192.41
2025-09-04,196.23,239.61,238.76,236.71,244.42,133.86,195.08
2025-09-05,189.49,242.37,238.38,239.7,244.42,133.18,193.95
2025-09-06,186.83,240.46,238.6,248.74,244.78,132.6,196.37
2025-09-07,190.24,238.92,244.38,247.01,248.38,132.88,196.51
2025-09-08,188.79,242.73,246.09,246.82,245.72,134.95,200.29
2025-09-09,183.51,241.47,248.48,242.01,242.73,135.55,197.56
