date,TSLA,CHPT
2025-04-10,125.75,179.88
2025-04-11,123.92,179.38
2025-04-12,122.89,177.3
2025-04-13,120.52,181.65
2025-04-14,116.74,186.64
2025-04-15,117.3,181.07
2025-04-16,117.44,182.64
2025-04-17,118.87,185.08
2025-04-18,116.95,186.68
2025-04-19,118.34,184.93
2025-04-20,121.12,184.35
2025-04-21,121.65,182.37
2025-04-22,120.6,181.31
2025-04-23,120.92,178.11
2025-04-24,119.79,177.89
2025-04-25,118.37,173.97
2025-04-26,119.64,173.54
2025-04-27,119.45,170.37
2025-04-28,121.67,170.99
2025-04-29,120.93,169.33
2025-04-30,120.37,170.15
2025-05-01,119.41,173.0
2025-05-02,117.46,177.21
2025-05-03,118.95,170.58
2025-05-04,122.91,168.53
2025-05-05,122.27,167.85
2025-05-06,121.08,169.09
2025-05-07,119.79,164.99
2025-05-08,118.63,162.64
2025-05-09,121.62,163.04
2025-05-10,120.37,163.33
2025-05-11,119.38,164.34
2025-05-12,117.21,165.51
2025-05-13,117.79,166.44
2025-05-14,117.73,167.0
2025-05-15,115.78,167.23
2025-05-16,114.29,168.98
2025-05-17,116.97,163.38
2025-05-18,117.09,167.25
2025-05-19,117.32,161.8
2025-05-20,117.57,159.27
2025-05-21,120.09,158.8
2025-05-22,118.27,160.49
2025-05-23,117.62,153.36
2025-05-24,117.38,153.37
2025-05-25,114.41,155.27
2025-05-26,112.89,157.66
2025-05-27,114.72,156.09
2025-05-28,116.09,155.46
2025-05-29,117.78,154.11
2025-05-30,116.8,153.27
2025-05-31,116.04,150.98
2025-06-01,112.99,149.04
2025-06-02,114.62,150.09
2025-06-03,116.56,150.46
2025-06-04,118.52,151.64
2025-06-05,121.43,152.2
2025-06-06,122.26,153.89
2025-06-07,125.17,155.99
2025-06-08,124.86,152.0
2025-06-09,121.61,150.12
2025-06-10,123.24,149.68
2025-06-11,119.97,149.7
2025-06-12,120.34,148.27
2025-06-13,122.12,150.37
2025-06-14,122.78,154.92
2025-06-15,127.03,155.43
2025-06-16,123.35,155.7
2025-06-17,123.26,157.76
2025-06-18,123.35,153.43
2025-06-19,120.93,153.57
2025-06-20,118.9,155.9
2025-06-21,117.45,154.47
2025-06-22,115.57,151.71
2025-06-23,115.44,151.36
2025-06-24,114.45,151.3
2025-06-25,115.06,149.31
2025-06-26,116.24,154.08
2025-06-27,117.31,153.05
2025-06-28,116.65,150.48
2025-06-29,117.2,150.35
2025-06-30,119.08,152.47
2025-07-01,119.93,152.58
2025-07-02,123.34,153.77
2025-07-03,125.22,151.84
2025-07-04,128.51,155.3
2025-07-05,123.77,156.69
2025-07-06,124.01,159.23
2025-07-07,123.47,160.18
2025-07-08,123.3,162.24
2025-07-09,121.87,160.2
2025-07-10,122.66,159.1
2025-07-11,119.39,162.39
2025-07-12,120.17,166.27
2025-07-13,118.84,163.49
2025-07-14,118.01,164.19
2025-07-15,118.85,163.21
2025-07-16,119.05,161.58
2025-07-17,120.99,162.36
2025-07-18,119.29,165.22
2025-07-19,119.2,166.42
2025-07-20,120.85,165.7
2025-07-21,121.57,167.07
2025-07-22,122.4,166.25
2025-07-23,124.5,167.36
2025-07-24,123.8,170.95
2025-07-25,122.72,165.71
2025-07-26,123.84,167.77
2025-07-27,123.63,163.98
2025-07-28,125.77,167.09
2025-07-29,126.53,165.57
2025-07-30,125.41,162.63
2025-07-31,126.11,164.41
2025-08-01,124.46,165.39
2025-08-02,126.29,162.99
2025-08-03,123.71,160.01
2025-08-04,126.04,159.64
2025-08-05,126.71,156.84
2025-08-06,126.46,154.42
2025-08-07,127.97,154.76
2025-08-08,129.02,152.6
2025-08-09,131.66,153.65
2025-08-10,134.33,157.16
2025-08-11,135.11,156.89
2025-08-12,133.41,157.28
2025-08-13,132.39,162.11
2025-08-14,132.32,159.31
2025-08-15,134.53,162.23
2025-08-16,133.67,164.92
2025-08-17,132.99,167.12
2025-08-18,136.75,170.44
2025-08-19,136.6,171.24
2025-08-20,135.37,169.83
2025-08-21,137.01,172.7
2025-08-22,136.97,175.72
2025-08-23,134.18,178.73
2025-08-24,136.34,178.93
2025-08-25,134.88,177.1
2025-08-26,135.04,177.7
2025-08-27,134.97,180.3
2025-08-28,135.5,183.16
2025-08-29,131.12,182.07
2025-08-30,130.52,183.02
2025-08-31,132.79,179.52
2025-09-01,135.38,182.26
2025-09-02,133.43,180.21
2025-09-03,135.34,182.43
2025-09-04,133.86,179.37
2025-09-05,133.18,182.24
2025-09-06,132.6,183.21
2025-09-07,132.88,181.15
2025-09-08,134.95,183.12
2025-09-09,135.55,181.59
2025-09-10,135.36,183.72
2025-09-11,137.39,183.06
2025-09-12,135.81,178.43
2025-09-13,135.72,175.89
2025-09-14,137.81,174.84
2025-09-15,138.98,178.51
2025-09-16,138.07,181.02
2025-09-17,135.01,185.52
2025-09-18,135.71,190.21
2025-09-19,132.56,188.78
2025-09-20,132.2,188.34
2025-09-21,134.61,187.27
2025-09-22,135.88,185.48
2025-09-23,131.82,180.45
2025-09-24,132.29,180.5
2025-09-25,131.72,177.11
2025-09-26,129.27,177.11
2025-09-27,129.98,182.82
2025-09-28,129.09,181.51
2025-09-29,128.21,182.13
2025-09-30,128.52,184.7
2025-10-01,127.37,185.57
2025-10-02,127.62,186.47
2025-10-03,126.55,185.55
2025-10-04,125.59,185.0
2025-10-05,127.52,182.43
2025-10-06,129.68,184.84
2025-10-07,126.42,180.1
2025-10-08,127.9,182.81
2025-10-09,130.65,179.06
2025-10-10,133.77,181.73
2025-10-11,134.88,180.86
2025-10-12,132.8,177.61
2025-10-13,134.13,179.24
2025-10-14,132.44,181.83
2025-10-15,131.83,180.72
2025-10-16,132.65,182.76
2025-10-17,131.12,176.59
2025-10-18,128.93,173.18
2025-10-19,129.89,176.63
2025-10-20,133.6,176.12
2025-10-21,136.15,171.29
2025-10-22,137.67,169.58
2025-10-23,139.76,167.32
2025-10-24,141.16,166.98
2025-10-25,142.19,166.14
2025-10-26,144.18,166.67
2025-10-27,141.29,166.58
2025-10-28,141.78,170.06
2025-10-29,141.68,171.23
2025-10-30,141.92,172.49
2025-10-31,141.01,175.59
2025-11-01,142.18,174.65
2025-11-02,140.51,171.43
2025-11-03,139.45,174.62
2025-11-04,138.15,175.07
2025-11-05,140.01,175.52
2025-11-06,140.06,173.94
2025-11-07,139.16,172.42
2025-11-08,138.45,174.69
2025-11-09,138.53,177.36
2025-11-10,141.97,179.53
2025-11-11,139.41,181.76
2025-11-12,140.89,183.4
2025-11-13,141.96,183.86
2025-11-14,140.15,183.46
2025-11-15,143.3,186.89
2025-11-16,144.53,185.93
2025-11-17,143.5,187.06
2025-11-18,139.57,184.89
2025-11-19,140.12,183.16
2025-11-20,140.1,182.6
2025-11-21,138.0,180.49
2025-11-22,135.91,182.74
2025-11-23,137.75,179.14
2025-11-24,133.78,179.49
2025-11-25,134.47,179.94
2025-11-26,134.16,175.14
2025-11-27,135.23,174.07
2025-11-28,134.7,174.83
2025-11-29,135.36,176.04
2025-11-30,133.92,175.59
2025-12-01,133.89,177.46
2025-12-02,134.94,177.25
2025-12-03,135.31,177.38
2025-12-04,136.15,178.14
2025-12-05,134.32,180.7
2025-12-06,133.2,178.96
2025-12-07,132.12,177.74
2025-12-08,131.64,176.05
2025-12-09,134.39,175.26
2025-12-10,133.74,179.1
2025-12-11,131.51,180.73
2025-12-12,132.65,177.75
2025-12-13,135.39,176.24
2025-12-14,132.9,177.31
2025-12-15,136.9,174.99
2025-12-16,137.82,173.17
2025-12-17,140.03,176.75
2025-12-18,143.18,175.22
2025-12-19,145.34,177.81
2025-12-20,145.17,181.25
