date,BRK-B,JPM
2025-10-18,208.34,153.67
2025-10-19,205.39,156.9
2025-10-20,200.25,158.35
2025-10-21,198.14,158.9
2025-10-22,197.67,154.58
2025-10-23,199.74,152.84
2025-10-24,200.4,151.99
2025-10-25,205.34,147.56
2025-10-26,202.25,145.18
2025-10-27,205.02,144.66
2025-10-28,205.27,144.51
2025-10-29,207.51,145.67
2025-10-30,206.26,145.3
2025-10-31,209.68,145.91
2025-11-01,210.71,145.07
2025-11-02,208.67,145.23
2025-11-03,208.74,146.29
2025-11-04,208.09,149.59
2025-11-05,209.72,148.51
2025-11-06,206.11,148.91
2025-11-07,206.13,150.93
2025-11-08,207.45,147.74
2025-11-09,207.66,152.24
2025-11-10,211.96,155.01
2025-11-11,214.53,151.11
2025-11-12,214.61,152.03
2025-11-13,215.41,150.82
2025-11-14,216.48,149.99
2025-11-15,217.89,150.86
2025-11-16,212.04,153.31
2025-11-17,211.18,152.31
2025-11-18,206.59,151.36
2025-11-19,210.65,152.28
2025-11-20,210.56,153.66
2025-11-21,210.06,151.41
2025-11-22,212.99,155.41
2025-11-23,214.44,153.98
2025-11-24,210.92,156.29
2025-11-25,210.8,157.43
2025-11-26,209.85,158.94
2025-11-27,204.46,157.53
2025-11-28,202.45,153.53
2025-11-29,201.99,153.56
2025-11-30,201.74,153.6
2025-12-01,197.36,151.47
2025-12-02,200.87,153.63
2025-12-03,200.66,153.59
2025-12-04,200.87,151.8
2025-12-05,202.18,153.21
2025-12-06,199.89,154.69
2025-12-07,201.36,153.11
2025-12-08,200.35,156.01
2025-12-09,197.76,161.34
2025-12-10,199.56,158.78
2025-12-11,204.12,158.43
2025-12-12,206.44,159.31
2025-12-13,209.41,164.84
2025-12-14,207.88,163.1
2025-12-15,203.0,160.89
2025-12-16,207.64,158.68
2025-12-17,214.14,161.67
2025-12-18,219.2,160.03
2025-12-19,218.21,158.07
2025-12-20,214.54,158.7
