date,TSLA
2024-11-11,164.14
2024-11-12,162.16
2024-11-13,164.06
2024-11-14,163.79
2024-11-15,163.08
2024-11-16,160.05
2024-11-17,159.9
2024-11-18,157.2
2024-11-19,153.31
2024-11-20,153.66
2024-11-21,152.28
2024-11-22,156.2
2024-11-23,158.62
2024-11-24,162.74
2024-11-25,161.16
2024-11-26,161.57
2024-11-27,155.3
2024-11-28,154.72
2024-11-29,155.02
2024-11-30,155.46
2024-12-01,155.44
2024-12-02,155.67
2024-12-03,149.41
2024-12-04,150.06
2024-12-05,151.23
2024-12-06,154.34
2024-12-07,155.27
2024-12-08,155.04
2024-12-09,157.69
2024-12-10,152.19
2024-12-11,151.09
2024-12-12,149.43
2024-12-13,149.43
2024-12-14,144.58
2024-12-15,147.51
2024-12-16,147.03
2024-12-17,147.81
2024-12-18,148.38
2024-12-19,151.26
2024-12-20,147.11
2024-12-21,147.43
2024-12-22,150.04
2024-12-23,149.9
2024-12-24,147.83
2024-12-25,146.57
2024-12-26,145.78
2024-12-27,144.27
2024-12-28,144.01
2024-12-29,147.34
2024-12-30,146.1
2024-12-31,145.1
2025-01-01,146.17
2025-01-02,145.86
2025-01-03,143.03
2025-01-04,142.97
2025-01-05,142.83
2025-01-06,144.99
2025-01-07,142.95
2025-01-08,145.13
2025-01-09,144.99
2025-01-10,142.65
2025-01-11,139.92
2025-01-12,144.05
2025-01-13,143.78
2025-01-14,145.87
2025-01-15,142.2
2025-01-16,147.9
2025-01-17,149.96
2025-01-18,149.46
2025-01-19,148.84
2025-01-20,150.56
2025-01-21,152.16
2025-01-22,152.66
2025-01-23,152.76
2025-01-24,154.12
2025-01-25,150.17
2025-01-26,149.41
2025-01-27,145.79
2025-01-28,147.19
2025-01-29,145.77
2025-01-30,142.41
2025-01-31,140.78
2025-02-01,141.17
2025-02-02,140.8
2025-02-03,138.4
2025-02-04,134.93
2025-02-05,135.14
2025-02-06,134.03
2025-02-07,133.58
2025-02-08,133.33
2025-02-09,134.26
2025-02-10,136.03
2025-02-11,136.39
2025-02-12,135.81
2025-02-13,135.93
2025-02-14,135.3
2025-02-15,132.04
2025-02-16,134.26
2025-02-17,136.15
2025-02-18,140.28
2025-02-19,145.15
2025-02-20,142.66
2025-02-21,142.01
2025-02-22,147.44
2025-02-23,147.42
2025-02-24,148.03
2025-02-25,144.73
2025-02-26,145.13
2025-02-27,149.41
2025-02-28,152.37
2025-03-01,151.05
2025-03-02,150.22
2025-03-03,147.75
2025-03-04,145.94
2025-03-05,141.83
2025-03-06,141.72
2025-03-07,145.0
2025-03-08,145.85
2025-03-09,148.91
2025-03-10,151.38
2025-03-11,150.22
2025-03-12,148.58
2025-03-13,147.05
2025-03-14,143.33
2025-03-15,143.47
2025-03-16,137.29
2025-03-17,138.58
2025-03-18,138.8
2025-03-19,139.85
2025-03-20,142.14
2025-03-21,142.63
2025-03-22,146.19
2025-03-23,147.63
2025-03-24,146.03
2025-03-25,145.58
2025-03-26,140.72
2025-03-27,138.88
2025-03-28,138.16
2025-03-29,139.36
2025-03-30,137.86
2025-03-31,135.35
2025-04-01,131.59
2025-04-02,130.48
2025-04-03,134.36
2025-04-04,134.97
2025-04-05,136.94
2025-04-06,135.16
2025-04-07,132.04
2025-04-08,129.69
2025-04-09,129.56
2025-04-10,125.75
2025-04-11,123.92
2025-04-12,122.89
2025-04-13,120.52
2025-04-14,116.74
2025-04-15,117.3
2025-04-16,117.44
2025-04-17,118.87
2025-04-18,116.95
2025-04-19,118.34
2025-04-20,121.12
2025-04-21,121.65
2025-04-22,120.6
2025-04-23,120.92
2025-04-24,119.79
2025-04-25,118.37
2025-04-26,119.64
2025-04-27,119.45
2025-04-28,121.67
2025-04-29,120.93
2025-04-30,120.37
2025-05-01,119.41
2025-05-02,117.46
2025-05-03,118.95
2025-05-04,122.91
2025-05-05,122.27
2025-05-06,121.08
2025-05-07,119.79
2025-05-08,118.63
2025-05-09,121.62
2025-05-10,120.37
2025-05-11,119.38
2025-05-12,117.21
2025-05-13,117.79
2025-05-14,117.73
2025-05-15,115.78
2025-05-16,114.29
2025-05-17,116.97
2025-05-18,117.09
2025-05-19,117.32
2025-05-20,117.57
2025-05-21,120.09
2025-05-22,118.27
2025-05-23,117.62
2025-05-24,117.38
2025-05-25,114.41
2025-05-26,112.89
2025-05-27,114.72
2025-05-28,116.09
2025-05-29,117.78
2025-05-30,116.8
2025-05-31,116.04
2025-06-01,112.99
2025-06-02,114.62
2025-06-03,116.56
2025-06-04,118.52
2025-06-05,121.43
2025-06-06,122.26
2025-06-07,125.17
2025-06-08,124.86
2025-06-09,121.61
2025-06-10,123.24
2025-06-11,119.97
2025-06-12,120.34
2025-06-13,122.12
2025-06-14,122.78
2025-06-15,127.03
2025-06-16,123.35
2025-06-17,123.26
2025-06-18,123.35
2025-06-19,120.93
2025-06-20,118.9
2025-06-21,117.45
2025-06-22,115.57
2025-06-23,115.44
2025-06-24,114.45
2025-06-25,115.06
2025-06-26,116.24
2025-06-27,117.31
2025-06-28,116.65
2025-06-29,117.2
2025-06-30,119.08
2025-07-01,119.93
2025-07-02,123.34
2025-07-03,125.22
2025-07-04,128.51
2025-07-05,123.77
2025-07-06,124.01
2025-07-07,123.47
2025-07-08,123.3
2025-07-09,121.87
2025-07-10,122.66
2025-07-11,119.39
2025-07-12,120.17
2025-07-13,118.84
2025-07-14,118.01
2025-07-15,118.85
2025-07-16,119.05
2025-07-17,120.99
2025-07-18,119.29
2025-07-19,119.2
2025-07-20,120.85
2025-07-21,121.57
2025-07-22,122.4
2025-07-23,124.5
2025-07-24,123.8
2025-07-25,122.72
2025-07-26,123.84
2025-07-27,123.63
2025-07-28,125.77
2025-07-29,126.53
2025-07-30,125.41
2025-07-31,126.11
2025-08-01,124.46
2025-08-02,126.29
2025-08-03,123.71
2025-08-04,126.04
2025-08-05,126.71
2025-08-06,126.46
2025-08-07,127.97
2025-08-08,129.02
2025-08-09,131.66
2025-08-10,134.33
2025-08-11,135.11
2025-08-12,133.41
2025-08-13,132.39
2025-08-14,132.32
2025-08-15,134.53
2025-08-16,133.67
2025-08-17,132.99
2025-08-18,136.75
2025-08-19,136.6
2025-08-20,135.37
2025-08-21,137.01
2025-08-22,136.97
2025-08-23,134.18
2025-08-24,136.34
2025-08-25,134.88
2025-08-26,135.04
2025-08-27,134.97
2025-08-28,135.5
2025-08-29,131.12
2025-08-30,130.52
2025-08-31,132.79
2025-09-01,135.38
2025-09-02,133.43
2025-09-03,135.34
2025-09-04,133.86
2025-09-05,133.18
2025-09-06,132.6
2025-09-07,132.88
2025-09-08,134.95
2025-09-09,135.55
2025-09-10,135.36
2025-09-11,137.39
2025-09-12,135.81
2025-09-13,135.72
2025-09-14,137.81
2025-09-15,138.98
2025-09-16,138.07
2025-09-17,135.01
2025-09-18,135.71
2025-09-19,132.56
2025-09-20,132.2
2025-09-21,134.61
2025-09-22,135.88
2025-09-23,131.82
2025-09-24,132.29
2025-09-25,131.72
2025-09-26,129.27
2025-09-27,129.98
2025-09-28,129.09
2025-09-29,128.21
2025-09-30,128.52
2025-10-01,127.37
2025-10-02,127.62
2025-10-03,126.55
2025-10-04,125.59
2025-10-05,127.52
2025-10-06,129.68
2025-10-07,126.42
2025-10-08,127.9
2025-10-09,130.65
2025-10-10,133.77
2025-10-11,134.88
2025-10-12,132.8
2025-10-13,134.13
2025-10-14,132.44
2025-10-15,131.83
2025-10-16,132.65
2025-10-17,131.12
2025-10-18,128.93
2025-10-19,129.89
2025-10-20,133.6
2025-10-21,136.15
2025-10-22,137.67
2025-10-23,139.76
2025-10-24,141.16
2025-10-25,142.19
2025-10-26,144.18
2025-10-27,141.29
2025-10-28,141.78
2025-10-29,141.68
2025-10-30,141.92
2025-10-31,141.01
2025-11-01,142.18
2025-11-02,140.51
2025-11-03,139.45
2025-11-04,138.15
2025-11-05,140.01
2025-11-06,140.06
2025-11-07,139.16
2025-11-08,138.45
2025-11-09,138.53
2025-11-10,141.97
2025-11-11,139.41
2025-11-12,140.89
2025-11-13,141.96
2025-11-14,140.15
2025-11-15,143.3
2025-11-16,144.53
2025-11-17,143.5
2025-11-18,139.57
2025-11-19,140.12
2025-11-20,140.1
2025-11-21,138.0
2025-11-22,135.91
2025-11-23,137.75
2025-11-24,133.78
2025-11-25,134.47
2025-11-26,134.16
2025-11-27,135.23
2025-11-28,134.7
2025-11-29,135.36
2025-11-30,133.92
2025-12-01,133.89
2025-12-02,134.94
2025-12-03,135.31
2025-12-04,136.15
2025-12-05,134.32
2025-12-06,133.2
2025-12-07,132.12
2025-12-08,131.64
2025-12-09,134.39
2025-12-10,133.74
2025-12-11,131.51
2025-12-12,132.65
2025-12-13,135.39
2025-12-14,132.9
2025-12-15,136.9
2025-12-16,137.82
2025-12-17,140.03
2025-12-18,143.18
2025-12-19,145.34
2025-12-20,145.17
